"","Name","Chromosome","Position","CmDW_g","Cml_cm","CmD_BI_mm","CmD_LI_mm","CmN.","Bcirc_cm","Yld_kg","SDW_kg","CCirc_cm","Lg","GS","FD","SRD","ADD","mc","Yld_1","Yld","AIL","CmDW.V"
"1547","PstI.TP506588",1,80675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2260","PstI.TP863331",1,161269,0.58772489138226,0.294963144176278,0.79317129051506,0.430981309480274,0.0605948277416786,0.330510729870125,0.538310865875525,0.405388872610794,0.0738469311158728,0.0670017835850776,0.883841099507685,0.574853372828014,0.391855941096736,0.346390859271594,0.0637109020181236,0.483855628244873,0.483855628242973,0.322059466367947,0.73852972634961
"1406","PstI.TP424788",1,263370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2407","PstI.TP931820",1,284314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","NsiI.TP148773",1,285352,0.140262912702633,0.185905038912873,0.0440906108471786,0.0392501796394151,0.0247645518939835,0.153838471525299,0.296644932723502,0.289275932668489,0.177283205553081,0.0957361617250037,0.0290507738026676,0.18494163382704,0.339728257695725,0.0534713342145103,0.137645681307391,0.290075052264977,0.29007505227027,0.43556037524422,0.00922298181241128
"495","PstI.TP1106845",1,416796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1408","PstI.TP425356",1,569039,0.862539440975802,1.12740419743055,0.724978676466305,1.03180223546091,0.739582183968597,0.476005082376619,0.442380713628791,0.188814320666023,0.144301320181644,1.2087832768421,0.516616398896434,0.926557959879618,0.65497316238049,0.457000350642376,0.788525127611056,0.362889501256165,0.362889501265204,0.505929521775996,0.787709544131934
"2560","PstI.TP999740",1,569491,0.229548855227425,0.013306638197245,0.0550319136972508,0.0482385432668049,0.0813669326216801,0.139114995080388,0.638842803651096,0.587973103741326,0.728086959619363,0.00893414836857927,0.186501465393313,0.089070652479302,1.49100079338674,0.180353955003557,0.717481368628386,0.602197954295667,0.602197954305651,0.032955583341614,0.138090123403115
"578","PstI.TP1152021",1,865447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1928","PstI.TP716618",1,918921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1278","PstI.TP354591",1,1050082,0.0489401900226557,0.0247823260781736,0.0392330677881069,0.0794142619740094,0.08730595177795,1.47113807441276,0.320452596758496,0.354607607165255,0.103539670979571,0.207890324987065,0.768967963146902,1.57086593785994,0.0192702105074181,0.166008406520951,0.246821542609965,0.312875205575831,0.312875205562807,0.183421918635482,0.047357537612754
"2245","PstI.TP856852",1,1153760,0.166916820454758,0.0131282541637523,0.397382880932536,0.0445454350016296,0.0659582162037558,0.446651324604614,0.119912456792844,0.187879890147429,0.191688743596528,0.55836345197295,1.63771257713088,1.99371942881715,0.175609627404256,0.0992166419147943,0.811722573747117,0.226672359205245,0.226672359200242,0.0529683639161097,0.277110813357879
"2058","PstI.TP775725",1,1175417,0.624998557297626,0.402438772350276,0.655122171146739,0.591775563974068,0.207177217638703,0.0504632203030562,0.357796750588631,0.251269453971286,1.08392938380652,0.269490031254907,0.604213164864585,1.72433147828964,0.930483257208639,0.559361949432534,0.529850822891108,0.243468914818424,0.24346891482965,0.178444994194694,0.735235172419889
"2400","PstI.TP929619",1,1952038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1393","PstI.TP417865",1,2030761,0.444539682480675,0.198380447368242,0.868899748465817,0.671915178398751,0.0358036451831281,0.435251410303375,0.128615340159748,0.0690460668689857,0.0176362664352504,0.242893558054834,0.400510669649589,2.66850778765825,0.162264033792022,0.318899238361804,2.17300486968406,0.0229811295860956,0.0229811295853535,0.104882960368888,0.746550260033028
"2311","PstI.TP885267",1,2084430,0.0206120722385829,0.0672412621416968,0.331294976499604,0.0878282138323709,0.00817273868562405,0.924715756790883,0.183381853861221,0.125675463996614,0.179766196908738,0.265070445632999,0.00319157153115127,0.798332073913877,0.51056372394955,2.24949624315632,0.20253067918525,0.0670225967543948,0.0670225967535523,0.142013542215947,0.190353178913303
"813","PstI.TP1294018",1,2280325,0.0678236435962857,0.0868835155027438,0.0408332155442925,0.353613400530411,0.710162229692138,0.112762492631898,0.136373839718156,0.130364138296903,0.256817393703286,0.244461975066507,0.163057840021089,0.033003885897264,0.114070599579365,1.45540452902392,0.417980576877901,0.146596983919049,0.146596983921492,0.822939876257087,0.0308191488894298
"1674","PstI.TP56795",1,2315051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2481","PstI.TP966432",1,2596832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1438","PstI.TP441536",1,2816855,0.239821763270818,0.0192725373542781,0.729023901372156,0.671771314733548,0.595380676468163,0.0186774249161191,0.0262506303171977,0.203500847198497,0.0961611860092224,0.412333549076708,0.678894221036419,0.124505904260385,0.192057823224224,0.0274358846172123,0.0631976795533003,0.0913185776021279,0.0913185776087599,0.456207953788107,0.635749359618295
"465","PstI.TP1085601",1,2820903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1581","PstI.TP525202",1,2884119,0.56480115553336,0.59770348117241,0.3648402882913,0.639354607305199,0.0010401461272578,0.60818063782844,0.461292549716933,0.573591002197877,0.159302923396199,0.413796636094204,2.07857183368879,0.158789314064814,0.430866035616103,0.327597442273078,0.745480840967117,0.365902539639537,0.365902539630485,0.732617850471224,0.495890830471281
"790","PstI.TP1268585",1,2988383,0.279076907177313,0.104078284074732,0.338766832246097,0.726456308859046,0.153622318594765,0.0795336893429303,0.392273764082313,0.351912357066471,0.677814613616507,0.568047604851229,0.421692198168263,0.641406164286526,0.105419667350362,1.19044618983874,0.640615924897185,0.25936391125847,0.259363911265506,0.176607910115787,0.455841533443684
"1722","PstI.TP59735",1,3027630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2230","PstI.TP849876",1,3050119,1.1206316061684,0.478400600923881,0.930572625761266,0.731452277778663,0.595613804783985,0.553658648663632,1.05927503823722,0.491445486867269,1.04656500798126,0.126736561435581,1.81306861260882,0.102745866781021,0.649405341989239,1.56847774287171,1.03000866110974,1.07219157934628,1.07219157934413,0.0252707326693775,1.21703749079695
"979","PstI.TP209693",1,3305106,0,0,0,0,0,0,0,0,1.12833904353586,0,0,0,0,0,0,0,0,0,0
"1765","PstI.TP626124",1,3342723,0.310713727115899,0.164827716889535,0.0142384522112483,0.219083967043743,0.269944578725262,0.247068562648292,0.0230764004906631,0.0392620725683088,0.109632367119616,0.129713976904779,0.0448164655882753,0.851335680351835,0.656266862321007,2.18287976751425,0.294793642539462,0.0421298373454597,0.0421298373539462,0.0253927192783552,0.160841950403203
"421","PstI.TP1059573",1,3357749,0.174251343897074,0.585783433643259,0.0237266645623574,0.556935752823856,0.796474484359943,0.769515300950056,0.325848656974896,0.264754855943005,0.280539516118084,0.178480811875067,0.289353414437991,0.559859971050952,0.0862687347476671,0.361191547160086,0.025133773937838,0.332197525467187,0.332197525464487,0.0139406151427443,0.0673169267970534
"172","NsiI.TP504485",1,3381640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"744","PstI.TP1244443",1,3397749,0.330685614015724,0.279614651122777,0.0783678492105892,0.320976120782191,0.140449043026087,0.361163211061418,0.306552054959068,0.217713035948244,0.825502374734485,0.174660987497007,0.0629103456943521,0.648546551351015,0.352089610368329,0.564141234907998,0.110920966246816,0.355191792516965,0.355191792519552,0.167118757176506,0.14281907741605
"672","PstI.TP1199997",1,3471828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","PstI.TP757375",1,3471897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1952","PstI.TP726521",1,3535515,0.0389285525881386,0.040862259488112,0.155605443157158,0.136551735118335,0.0542605330023199,0.19424872518349,0.0690413624251498,0.0943882097936305,0.187991729608915,0.143634009900755,0.190228827248948,0.098858911979075,0.155524641551524,0.859136903615262,0.266265231916134,0.0802086563005467,0.0802086563076859,0.0835738431390788,0.0875458191602646
"1317","PstI.TP374511",1,3576636,0.609316429946939,0.879314719107767,0.196483134859298,0.442710092916532,0.795181199795389,0.609701170367578,0.840353848351776,0.900397387900058,0.546719689839733,1.27101993752751,0.451438786951639,1.89383764731405,1.23015896547295,0.740698123618792,0.128029979824146,0.84412312938006,0.844123129387688,0.0435548058427889,0.31496893758008
"788","PstI.TP1267977",1,3576713,0.311497410421339,0.0659497076258036,0.396647274820463,0.143429451273959,0.161626869335194,0.394865284992043,0.364093221516708,0.195153064512202,0.334695601197683,0.202549931932068,0.0640525489755907,0.184735283799998,0.332328880142021,0.6153209427503,0.279455489390218,0.205665501712737,0.205665501713444,0.0307183655107681,0.393251851410429
"582","PstI.TP1155202",1,3620639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2469","PstI.TP961085",1,3705536,0.338525921790009,0.00906181233163121,0.132803018145152,0.491393106865471,1.13727161699778,0.691483329736772,0.660337130698592,0.758138422877244,0.641179745929774,1.96095557757825,0.0502221060547145,0.426972927306696,0.215437436146038,0.191018785665283,0.31162210099055,0.758511136502343,0.758511136508059,1.35810221551155,0.382777827022672
"995","PstI.TP21889",1,3705780,1.02048344735973,0.607396485932249,0.620971823883343,1.45863297186784,1.0624990970777,0.272316683025785,0.35402895273152,0.561848065999219,0.568597452574408,0.0622031957131414,0.170757827568773,0.00469332584572988,0.0900965497518203,0.142971440800727,0.114861051798872,0.441467192668073,0.441467192658442,0.333626965321399,1.08448396753975
