"","Name","Chromosome","Position","mc","Yld_1","Yld","AIL","CmDW.V"
"1547","PstI.TP506588",1,80675,0,0,0,0,0
"2260","PstI.TP863331",1,161269,0.0637109020181236,0.483855628244873,0.483855628242973,0.322059466367947,0.73852972634961
"1406","PstI.TP424788",1,263370,0,0,0,0,0
"2407","PstI.TP931820",1,284314,0,0,0,0,0
"13","NsiI.TP148773",1,285352,0.137645681307391,0.290075052264977,0.29007505227027,0.43556037524422,0.00922298181241128
"495","PstI.TP1106845",1,416796,0,0,0,0,0
"1408","PstI.TP425356",1,569039,0.788525127611056,0.362889501256165,0.362889501265204,0.505929521775996,0.787709544131934
"2560","PstI.TP999740",1,569491,0.717481368628386,0.602197954295667,0.602197954305651,0.032955583341614,0.138090123403115
"578","PstI.TP1152021",1,865447,0,0,0,0,0
"1928","PstI.TP716618",1,918921,0,0,0,0,0
"1278","PstI.TP354591",1,1050082,0.246821542609965,0.312875205575831,0.312875205562807,0.183421918635482,0.047357537612754
"2245","PstI.TP856852",1,1153760,0.811722573747117,0.226672359205245,0.226672359200242,0.0529683639161097,0.277110813357879
"2058","PstI.TP775725",1,1175417,0.529850822891108,0.243468914818424,0.24346891482965,0.178444994194694,0.735235172419889
"2400","PstI.TP929619",1,1952038,0,0,0,0,0
"1393","PstI.TP417865",1,2030761,2.17300486968406,0.0229811295860956,0.0229811295853535,0.104882960368888,0.746550260033028
"2311","PstI.TP885267",1,2084430,0.20253067918525,0.0670225967543948,0.0670225967535523,0.142013542215947,0.190353178913303
"813","PstI.TP1294018",1,2280325,0.417980576877901,0.146596983919049,0.146596983921492,0.822939876257087,0.0308191488894298
"1674","PstI.TP56795",1,2315051,0,0,0,0,0
"2481","PstI.TP966432",1,2596832,0,0,0,0,0
"1438","PstI.TP441536",1,2816855,0.0631976795533003,0.0913185776021279,0.0913185776087599,0.456207953788107,0.635749359618295
"465","PstI.TP1085601",1,2820903,0,0,0,0,0
"1581","PstI.TP525202",1,2884119,0.745480840967117,0.365902539639537,0.365902539630485,0.732617850471224,0.495890830471281
"790","PstI.TP1268585",1,2988383,0.640615924897185,0.25936391125847,0.259363911265506,0.176607910115787,0.455841533443684
"1722","PstI.TP59735",1,3027630,0,0,0,0,0
"2230","PstI.TP849876",1,3050119,1.03000866110974,1.07219157934628,1.07219157934413,0.0252707326693775,1.21703749079695
"979","PstI.TP209693",1,3305106,0,0,0,0,0
"1765","PstI.TP626124",1,3342723,0.294793642539462,0.0421298373454597,0.0421298373539462,0.0253927192783552,0.160841950403203
"421","PstI.TP1059573",1,3357749,0.025133773937838,0.332197525467187,0.332197525464487,0.0139406151427443,0.0673169267970534
"172","NsiI.TP504485",1,3381640,0,0,0,0,0
"744","PstI.TP1244443",1,3397749,0.110920966246816,0.355191792516965,0.355191792519552,0.167118757176506,0.14281907741605
