"","SNP","ID","Chromosome","Position","Trait.name","PS","Ind.SNP","SUPER","FarmCPU","mrMLM","rrBLUP","GLM","MAF.1.x","PVE.1.y","X","X.1","X.2","X.3","X.4","Gene","chr","start","end","width","strand","dis_start.positon","dis_positon.end"
"1","GFSSContig15563_263","CmN.1",9,58912474,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.1445,8.621,NA,"",NA,NA,"","Sobic.009G255100.5","Chr09",58910532,58914835,4304,"-",-1942,-2361
"2","GFSSContig17265_1038","CmD_LI_mm.1",6,49927748,"CmD_LI_mm","PS_N(1);PS_Y(1)","124+36088im(2)","","","mrMLM(2)","","",0.1516,21.62,NA,"",NA,NA,"","Sobic.006G136800.1","Chr06",49923688,49929393,5706,"+",-4060,-1645
"3","GFSSContig17477_775","CmN.2",2,67954599,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.05325,7.556,NA,"",NA,NA,"","Sobic.002G303700.1","Chr02",67951936,67955841,3906,"+",-2663,-1242
"4","GFSSContig17477_775","CmN.2",2,67954599,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.05325,7.556,NA,"",NA,NA,"","Sobic.002G303700.2","Chr02",67951734,67955841,4108,"+",-2865,-1242
"5","GFSSContig18221_1150","CCirc_cm.1",7,5395966,"CCirc_cm","PS_Y(4)","124+36088im(4)","","","FASTmrMLM(1);ISIS EM-BLASSO(1);mrMLM(1);pKWmEB(1)","","",0.4316,16.3,NA,"",NA,NA,"","Sobic.007G053100.1","Chr07",5393317,5400889,7573,"+",-2649,-4923
"6","GFSSContig18315_975","CmN.3",9,53976945,"CmN","PS_Y(2)","124+36088im(2)","CMLM+SUPER(1);MLM+SUPER(1)","","","","",0.2024,3.008,NA,"",NA,NA,"","Sobic.009G187100.1","Chr09",53975946,53977915,1970,"-",-999,-970
"7","GFSSContig19553_1853","Yld_kg.1",3,10802480,"Yld","PS_N(3)","124+36088im(3)","","","FASTmrMLM(1)mrMLM(1)pLARmEB(1)","","",0.4795,20.07,NA,"GFSSContig19553_1853",3,10802480,"GFSSContig19553_1853\3\10802480","Sobic.003G119400.1","Chr03",10802232,10806033,3802,"+",-248,-3553
"11","NsiI.TP127922","Cml_cm.1",4,54754163,"Cml_cm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.1785,0.106,NA,"",NA,NA,"","Sobic.004G196500.1","Chr04",54753647,54755468,1822,"+",-516,-1305
"12","NsiI.TP127922","Cml_cm.1",4,54754163,"Cml_cm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.1785,0.106,NA,"",NA,NA,"","Sobic.004G196500.1","Chr04",54753647,54755468,1822,"+",-516,-1305
"13","NsiI.TP127922","Cml_cm.1",4,54754163,"Cml_cm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.1785,0.106,NA,"",NA,NA,"","Sobic.004G196500.1","Chr04",54753647,54755468,1822,"+",-516,-1305
"14","NsiI.TP127922","CmDW_g.1",4,54754163,"CmDW_g","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.1785,1.984,NA,"",NA,NA,"","Sobic.004G196500.1","Chr04",54753647,54755468,1822,"+",-516,-1305
"15","NsiI.TP127922","CmDW_g.1",4,54754163,"CmDW_g","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.1785,1.984,NA,"",NA,NA,"","Sobic.004G196500.1","Chr04",54753647,54755468,1822,"+",-516,-1305
"16","NsiI.TP127922","CmDW_g.1",4,54754163,"CmDW_g","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.1785,1.984,NA,"",NA,NA,"","Sobic.004G196500.1","Chr04",54753647,54755468,1822,"+",-516,-1305
"17","NsiI.TP127922","CmN.7",4,54754163,"CmN","PS_N(1);PS_Y(4)","124+36088im(5)","CMLM+SUPER(1);MLM+SUPER(1)","FarmCPU(2)","","","GLM(1)",0.185,14.2,NA,"",NA,NA,"","Sobic.004G196500.1","Chr04",54753647,54755468,1822,"+",-516,-1305
"18","NsiI.TP127922","CmN.7",4,54754163,"CmN","PS_N(1);PS_Y(4)","124+36088im(5)","CMLM+SUPER(1);MLM+SUPER(1)","FarmCPU(2)","","","GLM(1)",0.185,14.2,NA,"",NA,NA,"","Sobic.004G196500.1","Chr04",54753647,54755468,1822,"+",-516,-1305
"19","NsiI.TP127922","CmN.7",4,54754163,"CmN","PS_N(1);PS_Y(4)","124+36088im(5)","CMLM+SUPER(1);MLM+SUPER(1)","FarmCPU(2)","","","GLM(1)",0.185,14.2,NA,"",NA,NA,"","Sobic.004G196500.1","Chr04",54753647,54755468,1822,"+",-516,-1305
"20","NsiI.TP128678","Yld_kg.2",3,69000501,"Yld","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.4086,1.329,NA,"NsiI.TP128678",3,69000501,"NsiI.TP128678\3\69000501","Sobic.003G375200.1","Chr03",68999883,69007574,7692,"+",-618,-7073
"21","NsiI.TP128678","Yld_kg.2",3,69000501,"Yld","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.4086,1.329,NA,"NsiI.TP128678",3,69000501,"NsiI.TP128678\3\69000501","Sobic.003G375200.1","Chr03",68999883,69007574,7692,"+",-618,-7073
"22","NsiI.TP128678","CmN.8",3,69000501,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.4256,6.914,NA,"",NA,NA,"","Sobic.003G375200.1","Chr03",68999883,69007574,7692,"+",-618,-7073
"23","NsiI.TP128678","CmN.8",3,69000501,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.4256,6.914,NA,"",NA,NA,"","Sobic.003G375200.1","Chr03",68999883,69007574,7692,"+",-618,-7073
"24","NsiI.TP128897","CmDW_g.2",6,56190559,"CmDW_g","PS_N(1)","124+36088im(1)","","","pKWmEB(1)","","",0.4556,4.294,NA,"",NA,NA,"","Sobic.006G213300.2","Chr06",56185793,56191223,5431,"-",-4766,-664
"25","NsiI.TP128897","CmDW_g.2",6,56190559,"CmDW_g","PS_N(1)","124+36088im(1)","","","pKWmEB(1)","","",0.4556,4.294,NA,"",NA,NA,"","Sobic.006G213300.1","Chr06",56185793,56191223,5431,"-",-4766,-664
"26","NsiI.TP128897","CmDW_g.2",6,56190559,"CmDW_g","PS_N(1)","124+36088im(1)","","","pKWmEB(1)","","",0.4556,4.294,NA,"",NA,NA,"","Sobic.006G213300.2","Chr06",56185793,56191223,5431,"-",-4766,-664
"27","NsiI.TP128897","CmDW_g.2",6,56190559,"CmDW_g","PS_N(1)","124+36088im(1)","","","pKWmEB(1)","","",0.4556,4.294,NA,"",NA,NA,"","Sobic.006G213300.1","Chr06",56185793,56191223,5431,"-",-4766,-664
"28","NsiI.TP128897","CmD_BI_mm.1",6,56190559,"CmD_BI_mm","PS_N(2);PS_Y(3)","124+36088im(5)","","","FASTmrMLM(1);ISIS EM-BLASSO(1);mrMLM(1);pKWmEB(2)","","",0.459,13.25,NA,"",NA,NA,"","Sobic.006G213300.2","Chr06",56185793,56191223,5431,"-",-4766,-664
"29","NsiI.TP128897","CmD_BI_mm.1",6,56190559,"CmD_BI_mm","PS_N(2);PS_Y(3)","124+36088im(5)","","","FASTmrMLM(1);ISIS EM-BLASSO(1);mrMLM(1);pKWmEB(2)","","",0.459,13.25,NA,"",NA,NA,"","Sobic.006G213300.1","Chr06",56185793,56191223,5431,"-",-4766,-664
"30","NsiI.TP128897","CmD_BI_mm.1",6,56190559,"CmD_BI_mm","PS_N(2);PS_Y(3)","124+36088im(5)","","","FASTmrMLM(1);ISIS EM-BLASSO(1);mrMLM(1);pKWmEB(2)","","",0.459,13.25,NA,"",NA,NA,"","Sobic.006G213300.2","Chr06",56185793,56191223,5431,"-",-4766,-664
"31","NsiI.TP128897","CmD_BI_mm.1",6,56190559,"CmD_BI_mm","PS_N(2);PS_Y(3)","124+36088im(5)","","","FASTmrMLM(1);ISIS EM-BLASSO(1);mrMLM(1);pKWmEB(2)","","",0.459,13.25,NA,"",NA,NA,"","Sobic.006G213300.1","Chr06",56185793,56191223,5431,"-",-4766,-664
"33","NsiI.TP159695","CmN.10",6,57820247,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.1828,7.559,NA,"",NA,NA,"","Sobic.006G236700.3","Chr06",57815633,57820884,5252,"-",-4614,-637
"34","NsiI.TP159695","CmN.10",6,57820247,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.1828,7.559,NA,"",NA,NA,"","Sobic.006G236700.2","Chr06",57815633,57820884,5252,"-",-4614,-637
"35","NsiI.TP159695","CmN.10",6,57820247,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.1828,7.559,NA,"",NA,NA,"","Sobic.006G236700.1","Chr06",57815633,57822442,6810,"-",-4614,-2195
"36","NsiI.TP164112","Cml_cm.2",2,75774037,"Cml_cm","PS_N(1)","C116+3293(1)","","FarmCPU(1)","","","",0.1034,0.1395,NA,"",NA,NA,"","Sobic.002G409000.1","Chr02",75773614,75775575,1962,"-",-423,-1538
"39","NsiI.TP195403","Cml_cm.3",1,75432709,"Cml_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.3566,8.463,NA,"",NA,NA,"","Sobic.001G482800.1","Chr01",75429377,75432763,3387,"+",-3332,-54
"40","NsiI.TP211798","Bcirc_cm.1",1,72131324,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0492,9.731,NA,"",NA,NA,"","Sobic.001G444100.1","Chr01",72126363,72130476,4114,"+",-4961,848
"41","NsiI.TP211798","Bcirc_cm.1",1,72131324,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0492,9.731,NA,"",NA,NA,"","Sobic.001G444100.2","Chr01",72126363,72130476,4114,"+",-4961,848
"42","NsiI.TP211798","Bcirc_cm.1",1,72131324,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0492,9.731,NA,"",NA,NA,"","Sobic.001G444200.1","Chr01",72130897,72132804,1908,"-",-427,-1480
"43","NsiI.TP211798","Bcirc_cm.1",1,72131324,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0492,9.731,NA,"",NA,NA,"","Sobic.001G444100.1","Chr01",72126363,72130476,4114,"+",-4961,848
"44","NsiI.TP211798","Bcirc_cm.1",1,72131324,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0492,9.731,NA,"",NA,NA,"","Sobic.001G444100.2","Chr01",72126363,72130476,4114,"+",-4961,848
"45","NsiI.TP211798","Bcirc_cm.1",1,72131324,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0492,9.731,NA,"",NA,NA,"","Sobic.001G444200.1","Chr01",72130897,72132804,1908,"-",-427,-1480
"46","NsiI.TP211798","Bcirc_cm.1",1,72131324,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0492,9.731,NA,"",NA,NA,"","Sobic.001G444100.1","Chr01",72126363,72130476,4114,"+",-4961,848
"47","NsiI.TP211798","Bcirc_cm.1",1,72131324,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0492,9.731,NA,"",NA,NA,"","Sobic.001G444100.2","Chr01",72126363,72130476,4114,"+",-4961,848
"48","NsiI.TP211798","Bcirc_cm.1",1,72131324,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0492,9.731,NA,"",NA,NA,"","Sobic.001G444200.1","Chr01",72130897,72132804,1908,"-",-427,-1480
"49","NsiI.TP211798","Bcirc_cm.1",1,72131324,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0492,9.731,NA,"",NA,NA,"","Sobic.001G444100.1","Chr01",72126363,72130476,4114,"+",-4961,848
"50","NsiI.TP211798","Bcirc_cm.1",1,72131324,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0492,9.731,NA,"",NA,NA,"","Sobic.001G444100.2","Chr01",72126363,72130476,4114,"+",-4961,848
"51","NsiI.TP211798","Bcirc_cm.1",1,72131324,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0492,9.731,NA,"",NA,NA,"","Sobic.001G444200.1","Chr01",72130897,72132804,1908,"-",-427,-1480
"54","NsiI.TP217838","CmN.13",3,3586934,"CmN","PS_Y(2)","C106+4202(2)","MLM+SUPER(1)","","","","GLM(1)",0.05189,11.36,NA,"",NA,NA,"","Sobic.003G038400.1","Chr03",3586678,3591433,4756,"-",-256,-4499
"55","NsiI.TP217838","CmN.13",3,3586934,"CmN","PS_Y(2)","C106+4202(2)","MLM+SUPER(1)","","","","GLM(1)",0.05189,11.36,NA,"",NA,NA,"","Sobic.003G038400.2","Chr03",3586678,3591433,4756,"-",-256,-4499
"56","NsiI.TP218789","Bcirc_cm.2",3,51796050,"Bcirc_cm","PS_Y(2)","C106+4202(1);C116+3293(1)","","","mrMLM(2)","","",0.2456,7.029,NA,"",NA,NA,"","Sobic.003G194500.1","Chr03",51790405,51796572,6168,"+",-5645,-522
"57","NsiI.TP218789","Bcirc_cm.2",3,51796050,"Bcirc_cm","PS_Y(2)","C106+4202(1);C116+3293(1)","","","mrMLM(2)","","",0.2456,7.029,NA,"",NA,NA,"","Sobic.003G194500.1","Chr03",51790405,51796572,6168,"+",-5645,-522
"58","NsiI.TP218789","Cml_cm.4",3,51796050,"Cml_cm","PS_N(1);PS_Y(1)","C116+3293(2)","","FarmCPU(1)","FASTmrMLM(1)","","",0.25,3.664,NA,"",NA,NA,"","Sobic.003G194500.1","Chr03",51790405,51796572,6168,"+",-5645,-522
"59","NsiI.TP218789","Cml_cm.4",3,51796050,"Cml_cm","PS_N(1);PS_Y(1)","C116+3293(2)","","FarmCPU(1)","FASTmrMLM(1)","","",0.25,3.664,NA,"",NA,NA,"","Sobic.003G194500.1","Chr03",51790405,51796572,6168,"+",-5645,-522
"67","NsiI.TP249634","Cml_cm.7",9,5342948,"Cml_cm","PS_N(2)","124+36088im(2)","","","ISIS EM-BLASSO(1);mrMLM(1)","","",0.2746,7.204,NA,"",NA,NA,"","Sobic.009G052800.1","Chr09",5341442,5342418,977,"+",-1506,530
"69","NsiI.TP250072","Bcirc_cm.4",9,5056498,"Bcirc_cm","PS_Y(2)","124+36088im(2)","","","FASTmrMLM(1);ISIS EM-BLASSO(1)","","",0.0685,1.938,NA,"",NA,NA,"","Sobic.009G050900.2","Chr09",5048810,5056136,7327,"+",-7688,362
"70","NsiI.TP250072","Bcirc_cm.4",9,5056498,"Bcirc_cm","PS_Y(2)","124+36088im(2)","","","FASTmrMLM(1);ISIS EM-BLASSO(1)","","",0.0685,1.938,NA,"",NA,NA,"","Sobic.009G050900.1","Chr09",5048810,5056136,7327,"+",-7688,362
"71","NsiI.TP255006","CmN.18",6,59462133,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.1785,7.045,NA,"",NA,NA,"","Sobic.006G258600.2","Chr06",59461747,59466525,4779,"+",-386,-4392
"72","NsiI.TP255006","CmN.18",6,59462133,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.1785,7.045,NA,"",NA,NA,"","Sobic.006G258600.1","Chr06",59461747,59465981,4235,"+",-386,-3848
"73","NsiI.TP257077","Bcirc_cm.5",1,6103539,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.4556,3.433,NA,"",NA,NA,"","Sobic.001G079500.1","Chr01",6104059,6105842,1784,"+",520,-2303
"74","NsiI.TP257077","Bcirc_cm.5",1,6103539,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.4556,3.433,NA,"",NA,NA,"","Sobic.001G079401.1","Chr01",6101772,6103638,1867,"-",-1767,-99
"75","NsiI.TP257077","Bcirc_cm.5",1,6103539,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.4556,3.433,NA,"",NA,NA,"","Sobic.001G079401.1","Chr01",6101772,6103638,1867,"-",-1767,-99
"76","NsiI.TP257077","Bcirc_cm.5",1,6103539,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.4556,3.433,NA,"",NA,NA,"","Sobic.001G079500.1","Chr01",6104059,6105842,1784,"+",520,-2303
"77","NsiI.TP257077","Bcirc_cm.5",1,6103539,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.4556,3.433,NA,"",NA,NA,"","Sobic.001G079500.1","Chr01",6104059,6105842,1784,"+",520,-2303
"78","NsiI.TP257077","Bcirc_cm.5",1,6103539,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.4556,3.433,NA,"",NA,NA,"","Sobic.001G079401.1","Chr01",6101772,6103638,1867,"-",-1767,-99
"79","NsiI.TP257077","Bcirc_cm.5",1,6103539,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.4556,3.433,NA,"",NA,NA,"","Sobic.001G079401.1","Chr01",6101772,6103638,1867,"-",-1767,-99
"80","NsiI.TP257077","Bcirc_cm.5",1,6103539,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.4556,3.433,NA,"",NA,NA,"","Sobic.001G079500.1","Chr01",6104059,6105842,1784,"+",520,-2303
"81","NsiI.TP282888","CmN.19",2,675031,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.06897,1.977,NA,"",NA,NA,"","Sobic.002G007000.2","Chr02",674662,676476,1815,"-",-369,-1445
"82","NsiI.TP282888","CmN.19",2,675031,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.06897,1.977,NA,"",NA,NA,"","Sobic.002G006900.1","Chr02",663961,674299,10339,"+",-11070,732
