"","SNP","ID","Chromosome","Position","Trait.name","PS","Ind.SNP","SUPER","FarmCPU","mrMLM","rrBLUP","GLM","MAF.1.x","PVE.1.y","X","X.1","X.2","X.3","X.4","Gene","chr","start","end","width","strand"
"8","NsiI.TP115990","CmN.4",11,10376,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.3487,7.115,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"9","NsiI.TP11666","CmN.5",7,14339016,"CmN","PS_Y(2)","124+36088im(2)","MLM+SUPER(1)","","","","GLM(1)",0.07567,7.423,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"10","NsiI.TP122100","CmN.6",11,10465,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.1421,11.32,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"32","NsiI.TP154371","CmN.9",4,5011408,"CmN","PS_Y(2)","124+36088im(2)","CMLM+SUPER(1)","","","","GLM(1)",0.07723,9.649,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"37","NsiI.TP165765","CmD_BI_mm.2",11,10960,"CmD_BI_mm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.1101,1.393,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"38","NsiI.TP172212","CmN.11",1,67605060,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.3174,7.446,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"52","NsiI.TP213158","CmD_BI_mm.3",2,67720379,"CmD_BI_mm","PS_Y(2)","C124+2560(2)","","","FASTmrEMMA(1);pKWmEB(1)","","",0.2742,4.221,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"53","NsiI.TP215181","CmN.12",11,11521,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.05059,6.808,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"60","NsiI.TP224601","Bcirc_cm.3",1,58622993,"Bcirc_cm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.146,5.164,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"61","NsiI.TP226043","CmN.14",11,11664,"CmN","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.2161,0.1637,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"62","NsiI.TP230244","CmN.15",11,11712,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.1789,6.782,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"63","NsiI.TP231253","Cml_cm.5",11,11717,"Cml_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.0524,2.153,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"64","NsiI.TP241298","CmN.16",11,11843,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.07905,6.884,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"65","NsiI.TP241831","CmN.17",8,47079973,"CmN","PS_Y(1)","C106+4202(1)","CMLM+SUPER(1)","","","","",0.1226,4.551,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"66","NsiI.TP247987","Cml_cm.6",11,11923,"Cml_cm","PS_N(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.0524,25.02,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"68","NsiI.TP24973","CCirc_cm.2",11,9399,"CCirc_cm","PS_N(1);PS_Y(1)","124+36088im(2)","","","FASTmrMLM(1);ISIS EM-BLASSO(1)","","",0.2605,4.391,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"104","NsiI.TP30868","Bcirc_cm.8",1,51136397,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0943,1.482,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"106","NsiI.TP309946","CmN.21",11,12519,"CmN","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.2438,1.468,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"107","NsiI.TP319204","CmN.22",11,12621,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.04682,6.826,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"108","NsiI.TP324732","CmN.23",11,12703,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.2722,7.471,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"110","NsiI.TP330963","Bcirc_cm.9",10,56296082,"Bcirc_cm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.06987,0.2502,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"119","NsiI.TP331606","CmD_LI_mm.2",1,21598230,"CmD_LI_mm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.2298,0.7735,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"133","NsiI.TP338280","CmN.27",6,53961287,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.4526,0.52,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"166","NsiI.TP375399","Cml_cm.10",11,13278,"Cml_cm","PS_Y(1)","C116+3293(1)","","","mrMLM(1)","","",0.0132,0,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"167","NsiI.TP383201","Cml_cm.11",4,62497766,"Cml_cm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.1557,13.54,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"172","NsiI.TP391506","Bcirc_cm.11",4,62592587,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","pKWmEB(1)","","",0.1008,1.643,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"215","NsiI.TP415654","CmN.36",1,75354964,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.07039,8.649,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"218","NsiI.TP423584","CmDW_g.3",2,57602883,"CmDW_g","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.06036,0.0898,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"219","NsiI.TP424524","Cml_cm.12",11,13911,"Cml_cm","PS_N(1)","C106+4202(1)","","","FASTmrMLM(1)","","",0.1651,5.969,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"220","NsiI.TP424524","CmD_BI_mm.4",11,13911,"CmD_BI_mm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.1651,9.384,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"221","NsiI.TP434358","CmN.38",11,14139,"CmN","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.07916,0.1083,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"226","NsiI.TP441664","CmN.40",11,14308,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.08874,7.383,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"228","NsiI.TP443023","CmN.41",2,56699414,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06872,6.935,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"229","NsiI.TP443125","CmN.42",4,52156961,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.1162,8.506,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"230","NsiI.TP443279","CmN.43",11,14353,"CmN","PS_Y(2)","C116+3293(2)","CMLM+SUPER(1);MLM+SUPER(1)","","","","",0.2716,2.058,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"233","NsiI.TP445310","Bcirc_cm.15",11,14390,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.0927,0.7402,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"238","NsiI.TP448134","CmN.44",11,14419,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.06679,7.41,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"239","NsiI.TP449698","CmD_BI_mm.6",11,14444,"CmD_BI_mm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.2218,1.891,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"251","NsiI.TP466452","CmN.47",11,14696,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.3027,7.834,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"257","NsiI.TP473151","CmN.48",11,14822,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.05661,7.612,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
