"","SNP","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","PS","Software","Method","Trait.name","PVE","MAF","QTN.effect","LOD.score","Genotype.for.code.1","Var_error","Var_phen..total.","X","P.value.1","MAF.1","PVE.1"
"1","PstI.TP1133587",10,42973263,3.37270512710879e-10,0.058171140934787,124,0.522840106046547,0.719526726036458,8.8479546304572e-06,1.2646987751794,8.8479546304572e-06,"124+36088im","PS_Y","GAPIT","CMLM","GS",19.6686619989911,NA,NA,NA,NA,NA,NA,NA,3e-10,NA,19.67
"2","PstI.TP1264070",2,7827620,7.17293545272269e-10,0.08212589006936,124,0.522840106046547,0.710889954415233,9.40873943333635e-06,-1.01314157554593,9.40873943333635e-06,"124+36088im","PS_Y","GAPIT","CMLM","GS",18.8049848368686,NA,NA,NA,NA,NA,NA,NA,7e-10,NA,18.8
"3","PstI.TP65187",6,51685319,7.65180704881874e-09,0.0973658112203374,124,0.522840106046547,0.684562525909995,6.69125020395703e-05,-1.3193122523182,6.69125020395703e-05,"124+36088im","PS_Y","GAPIT","CMLM","GS",16.1722419863448,NA,NA,NA,NA,NA,NA,NA,8e-09,NA,16.17
"4","PstI.TP1031387",11,7167,5.13787220427181e-08,0.315423150882954,124,0.522840106046547,0.664210611633768,0.000336967348517166,2.29832503443318,0.000336967348517167,"124+36088im","PS_Y","GAPIT","CMLM","GS",14.1370505587221,NA,NA,NA,NA,NA,NA,NA,5e-08,NA,14.14
"5","NsiI.TP353473",11,13012,7.15453776012074e-08,0.0631381281853496,124,0.522840106046547,0.66074597782192,0.000375384287198015,0.747241353538016,0.000375384287198015,"124+36088im","PS_Y","GAPIT","CMLM","GS",13.7905871775373,NA,NA,NA,NA,NA,NA,NA,7e-08,NA,13.79
"6","PstI.TP716571",11,4957,2.82875846762606e-07,0.095962406601192,124,0.522840106046547,0.64659378289868,0.00116789926016515,-1.58387029154955,0.00116789926016515,"124+36088im","PS_Y","GAPIT","CMLM","GS",12.3753676852133,NA,NA,NA,NA,NA,NA,NA,3e-07,NA,12.38
"7","NsiI.TP741538",8,59582552,3.30477443391067e-07,0.338314505999796,124,0.522840106046547,0.645016074172993,0.00116789926016515,-0.556770078806763,0.00116789926016515,"124+36088im","PS_Y","GAPIT","CMLM","GS",12.2175968126446,NA,NA,NA,NA,NA,NA,NA,3e-07,NA,12.22
"8","PstI.TP914537",10,57752412,3.56148283956743e-07,0.0675956287517027,124,0.522840106046547,0.644258904045834,0.00116789926016515,-0.705931374256224,0.00116789926016515,"124+36088im","PS_Y","GAPIT","CMLM","GS",12.1418797999287,NA,NA,NA,NA,NA,NA,NA,4e-07,NA,12.14
"9","NsiI.TP149692",11,10781,5.10919250764382e-07,0.0903075859891929,124,0.522840106046547,0.640621883585055,0.00148927284717253,0.787936548661922,0.00148927284717253,"124+36088im","PS_Y","GAPIT","CMLM","GS",11.7781777538508,NA,NA,NA,NA,NA,NA,NA,5e-07,NA,11.78
"10","PstI.TP753228",10,47979677,9.83991228230211e-07,0.0688036076612671,124,0.522840106046547,0.634081631955494,0.00238030046571589,-0.704957342186108,0.00238030046571589,"124+36088im","PS_Y","GAPIT","CMLM","GS",11.1241525908947,NA,NA,NA,NA,NA,NA,NA,1e-06,NA,11.12
"11","NsiI.TP747164",11,18278,1.06042733415346e-06,0.0877481439645665,124,0.522840106046547,0.633340453149176,0.00238030046571589,0.707351035428814,0.00238030046571589,"124+36088im","PS_Y","GAPIT","CMLM","GS",11.0500347102629,NA,NA,NA,NA,NA,NA,NA,1e-06,NA,11.05
"12","PstI.TP735061",1,72976269,1.09107406054472e-06,0.23770539046379,124,0.522840106046547,0.633058476748271,0.00238030046571589,0.557728617875506,0.00238030046571589,"124+36088im","PS_Y","GAPIT","CMLM","GS",11.0218370701724,NA,NA,NA,NA,NA,NA,NA,1e-06,NA,11.02
"13","NsiI.TP62363",11,9869,1.22009435624001e-06,0.319651203779588,124,0.522840106046547,0.631953836692682,0.00238030046571589,0.604239672568995,0.00238030046571589,"124+36088im","PS_Y","GAPIT","CMLM","GS",10.9113730646135,NA,NA,NA,NA,NA,NA,NA,1e-06,NA,10.91
"14","PstI.TP780329",11,5383,1.28591749667148e-06,0.116059694070972,124,0.522840106046547,0.631435357365033,0.00238030046571589,0.704877370368938,0.00238030046571589,"124+36088im","PS_Y","GAPIT","CMLM","GS",10.8595251318486,NA,NA,NA,NA,NA,NA,NA,1e-06,NA,10.86
"15","NsiI.TP748486",7,63746564,1.47483916493658e-06,0.0947245679319265,124,0.522840106046547,0.630085305829349,0.00238030046571589,1.06493286198871,0.00238030046571589,"124+36088im","PS_Y","GAPIT","CMLM","GS",10.7245199782802,NA,NA,NA,NA,NA,NA,NA,1e-06,NA,10.72
