"","Name","Chromosome","Position","CmDW_g","Cml_cm","CmD_BI_mm","CmD_LI_mm","CmN.","Bcirc_cm","Yld_kg","SDW_kg","CCirc_cm","Lg","GS","FD","SRD","ADD","mc","Yld_1","Yld","AIL","CmDW.V"
"2104","PstI.TP506588",1,80675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2949","PstI.TP863331",1,161269,0.513978408167861,0.311803617381276,0.798273340540957,0.370382257906789,0.143014515118003,0.586564256856637,0.505731850309155,0.427755094549948,0.0126520403429041,0.0823420761436538,0.586096640940115,0.178370723983434,0.728857984364067,0.405205340468338,0.0995868359959267,0.481146831511039,0.481146831514924,0.298579005828725,0.628322590048278
"1936","PstI.TP424788",1,263370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3121","PstI.TP931820",1,284314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","NsiI.TP148773",1,285352,0.134152050283514,0.152652166918971,0.0493958150736633,0.0414436422941726,0.00851055265894853,0.084984810597056,0.286191283879059,0.26561513992265,0.176441760828469,0.120145182926722,0.0029658671406111,0.563892439140987,0.221499160522404,0.0257494806696142,0.000494089027007848,0.269507131241449,0.269507131248746,0.388692991012211,0.0178882576746646
"835","PstI.TP1106845",1,416796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1938","PstI.TP425356",1,569039,0.754382248238016,0.966885455143151,0.745748030333487,0.774358446328178,0.513897288637707,0.339700890162936,0.397052924981263,0.180576463960081,0.0917872798459933,1.2958413758871,0.623697481003102,0.947393256842698,0.507467910951595,0.263752371035216,0.938026652160603,0.32687326558652,0.326873265597208,0.487320803287185,0.738794764518969
"3292","PstI.TP999740",1,569491,0.00692461615497499,0.0618357959916633,0.205252251425578,0.0345067141311235,0.0876885321583463,0.217116076046902,0.142475189432305,0.206682629704359,0.134373731967119,0.158382813235619,0.48637063170215,0.313384594697446,1.12495152426095,0.121945326864447,0.386503155973207,0.13898723782495,0.138987237829994,0.0652535334598946,0.0295004269315007
"435","NsiI.TP585976",1,829048,0.47164193343027,0.627213461926319,0.543589942382383,0.453745651065628,0.142841376710287,0.422953364241431,0.814364915683915,0.884188657878626,0.814366259167325,1.56650270949274,0.588290554997763,0.0848667520116455,0.85076905344107,0.0660941653601783,0.200600502282721,0.799923533965388,0.799923533969978,0.0414223566079065,0.460968347781639
"935","PstI.TP1152021",1,865447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2563","PstI.TP716618",1,918921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1145","PstI.TP1246584",1,1015480,1.67833957309593,1.89531451848476,1.57437816411202,1.14597835624667,1.09230797948812,0.956325617207553,1.02868178524112,1.1063254315178,1.074035454731,0.165683716019102,0.681205141457496,0.254118162839243,0.834090663757547,0.451584338826273,0.381721888775558,1.21834005415679,1.21834005412571,0.622430209045629,1.3211966466765
"1779","PstI.TP354591",1,1050082,0.024738391979465,0.0315477140994477,0.0753370467237248,0.0122541592738087,0.0444629036576298,1.02205073027388,0.174912393491705,0.186913441750363,0.119239299759818,0.146658486292435,0.921963699743509,1.28079741749879,0.37710146674175,0.186191938738214,0.13100145688352,0.171685965958737,0.171685965946375,0.106508949512076,0.0263322909351887
"2932","PstI.TP856852",1,1153760,0.0616270206569185,0.0823170082121013,0.309315936307186,0.173321770886834,0.0932960603326663,0.205397834213731,0.221334191519502,0.278531596317314,0.319566741887927,0.563203478522783,1.53519438800967,0.830445012071975,0.210691258952494,0.024734001376791,0.559095140856054,0.301873253218527,0.301873253214323,0.102919309085514,0.15408105032181
"2709","PstI.TP775725",1,1175417,0.438846102729249,0.362833406610862,0.400034906087805,0.505141267478287,0.128896247060298,0.324727905316077,0.176760097391482,0.160251069079684,0.767724777608967,0.233830920175651,0.208032683171475,1.07497041977459,0.878808034580963,0.63582785563405,0.460134421681136,0.07049349838617,0.070493498395703,0.252163916017986,0.495504687010373
"514","NsiI.TP72077",1,1422420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"564","NsiI.TP796534",1,1682668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3113","PstI.TP929619",1,1952038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1922","PstI.TP417865",1,2030761,0.389210924909777,0.155248899345461,0.798859636182012,0.560720511624368,0.0756982395717402,0.480289578136906,0.214912445920672,0.0101347953496402,0.0669888594459186,0.263732227219256,0.406852694181846,3.258001189383,0.340581278226115,0.800593162857218,3.02678890378958,0.0293301888719298,0.029330188876743,0.0496432592708601,0.645107513445852
"479","NsiI.TP666080",1,2031570,0.374859233390881,0.227709546378686,0.00300461539249663,0.453548271409162,0.186276555673552,0.322280747933829,0.7462440138804,0.945003072762525,0.633852909153906,0.996765377179115,1.49819439143082,0.0178946625601033,0.472823735369593,0.831795523474843,0.10866582323663,0.815750823072691,0.815750823062646,0.0391830442118229,0.247599080989512
"3007","PstI.TP885267",1,2084430,0.0734754878058843,0.0448532115177149,0.357933572088556,0.140495359524498,0.0897328678002964,0.669207767016841,0.244298378431513,0.134388982286505,0.280071150047872,0.186211545927618,0.147476972609993,0.188066258878531,0.551122981791282,1.51983076136968,0.515257955959222,0.0842203663266697,0.0842203663236739,0.0463751376772573,0.25643795950837
"1227","PstI.TP1294018",1,2280325,0.191217498724481,0.00398729000603148,0.0477063811763623,0.290306209592967,1.09026207873103,0.00421376233884656,0.0181654870288681,0.0114677013363531,0.546644020590641,0.31676289107233,0.0210883516653903,0.254465176145268,0.0897339195610821,0.682759692265315,0.0860997506800779,0.00024171184304438,0.00024171184304438,1.13419955181776,0.0636601886174907
"2245","PstI.TP56795",1,2315051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"803","PstI.TP108989",1,2588793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3207","PstI.TP966432",1,2596832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1972","PstI.TP441536",1,2816855,0.108573412371558,0.0431789119239238,0.484856054474191,0.628904531909354,0.593096568961537,0.00158273772254502,0.0900226115909326,0.276259760149527,0.164759354680655,0.525578251374645,0.553334846037253,0.00178673975276461,0.0261597750330741,0.00915589346257388,0.165918190741353,0.170429224049055,0.170429224057268,0.592696705717735,0.39504815711481
"795","PstI.TP1085601",1,2820903,0.681406577883861,0.328115709743709,0.609507565636055,0.392823418617568,0.442165339495258,0.407111998418173,0.660019572772319,0.550100106151392,0,0.0475862035964435,0.0250542361514776,0.67004874727483,0.22039879395844,0.26405592062704,0.436992619052227,0.494506793484406,0.494506793481968,0.00641287711856598,0.649582192160246
"2143","PstI.TP525202",1,2884119,0.624614003665324,0.558513573120963,0.523184598062561,0.672270520363194,0.0304106787327515,0.707557647576114,0.478781693569719,0.478690023481519,0.253216416599914,0.136971658495982,1.33945982301232,0.511764130479424,0.34963110454805,0.202372204994243,1.1169050151438,0.393454644046659,0.393454644032104,0.588864391671999,0.627826613480561
"1196","PstI.TP1268585",1,2988383,0.268648572847613,0.126205064914703,0.407593999813936,0.54088126333083,0.191801964404814,0.400119627177104,0.561526032998339,0.504202279133343,0.945143333682441,0.7642408633664,0.250727594728103,0.343369801031297,0.182067452417939,0.635808275181648,0.338975148994381,0.429306239964844,0.42930623998018,0.174308661305157,0.414994184478042
"2304","PstI.TP59735",1,3027630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2913","PstI.TP849876",1,3050119,0.365118332452117,0.230495539057301,0.290828834772718,0.669836151274234,0.0050601711978515,0.0918241833020697,0.175501209979443,0.179714122123519,0.0387071185447487,0.0506198077164823,0.24985179911161,0.234426595299996,0.145686589361156,0.683756513926472,0.287539406552774,0.18285313896802,0.182853138964342,0.367107420310076,0.459323275281919
"2422","PstI.TP66009",1,3078783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1424","PstI.TP209693",1,3305106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2360","PstI.TP626124",1,3342723,0.228431244968398,0.136797514746668,0.057409719803374,0.226874716960412,0.138807701171131,0.356832049585398,0.052557167304975,0.0226996217499559,0.0179302613540762,0.225690676190406,0.160567818888977,0.626518055882663,0.429737730170124,1.38326616911717,0.320306268134977,0.034022383539754,0.0340223835303405,0.0901629742863138,0.108949529178949
"742","PstI.TP1059573",1,3357749,0.452927148493488,0.86661131459996,0.162165781549815,0.976421862702978,0.979608720915951,0.722789237414101,0.672429395791233,0.558297628708636,0.59236689994852,0.194506477759424,0.215576792017092,0.54357264402207,0.0565350577014877,0.262151007033356,0.232106800374044,0.613284842965342,0.613284842962969,0.00748334061675833,0.322593211664826
"357","NsiI.TP504485",1,3381640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1139","PstI.TP1244443",1,3397749,0.353059547149345,0.416581415909846,0.0697071291071164,0.616412391684479,0.270429599945959,0.627442314494509,0.295513070072229,0.405961950180452,0.767389601709121,0.223621452908622,0.34622016890661,0.47602148388576,0.574561664617813,0.29679540081402,0.00882325650114039,0.31560890856963,0.315608908574289,0.125912320189691,0.188828589013138
"1060","PstI.TP1199997",1,3471828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2660","PstI.TP757375",1,3471897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2589","PstI.TP726521",1,3535515,0.0226256107886837,0.0351246056419398,0.148367321443329,0.0935548044885745,0.0211822705746413,0.211637925706846,0.0431550506170153,0.0591425341113098,0.140259686722684,0.0525640851833235,0.195250269637389,0.0529544003804967,0.115488248034227,0.594407674701552,0.158027037026175,0.051809009365436,0.0518090093729491,0.113682781660488,0.0822797047879953
"1824","PstI.TP374511",1,3576636,1.00965049373414,1.20386035326488,0.583056312916314,0.839375816543086,1.24833329709314,1.0238739944629,1.16548041007979,1.14607866161365,0.806381162438103,1.17535588657119,0.292167416309523,1.25225463833723,0.622198766659005,0.213098878697709,0.266908287575431,1.12653371748286,1.12653371748163,0.0236152840608972,0.676845990083851
"1194","PstI.TP1267977",1,3576713,0.213658028051492,0.0326670162164142,0.289795089016289,0.15619259118348,0.0544386817969583,0.199381730754261,0.253714723505313,0.106552478120654,0.179841269480134,0.204648939164682,0.171899210829328,0.265810857370834,0.372056090607036,0.838730736098549,0.296890876746848,0.0955545662255011,0.0955545662299786,0.184300757655339,0.304122151289596
"941","PstI.TP1155202",1,3620639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3195","PstI.TP961085",1,3705536,0.410099516856915,0.04584946824011,0.228098355770581,0.586273647395792,1.23122486291176,0.632642334477456,0.535960355255399,0.663945456215682,0.583394643787078,2.25526055531098,0.168856392742343,0.171429664793851,0.375101862378395,0.126315569690589,0.411699806679188,0.630636437626167,0.630636437619434,1.6914056749719,0.554055277430021
"1443","PstI.TP21889",1,3705780,1.12563014487642,0.773917927542619,0.807020366701093,1.57474577020645,1.04447766485064,0.459504413003388,0.336685833057464,0.487925325096642,0.654782710148994,0.107169737651327,0.228786696227519,0.00178879270376229,0.167187447858211,0.0658508940923938,0.299343063034975,0.43026434776359,0.43026434775334,0.201195474591025,1.20352121763163
"731","PstI.TP1053336",1,3955998,0.136321426873242,0.0220626513938132,0.325764856645999,0.465805750702319,0.0167605044959055,0.0684817738156623,0.0535396858957708,0.0275478663085163,0.163964595864436,0.636361188410843,0.507586566685536,0.162962165087603,0.0172869977471815,0.00114085568082123,0.537044327433032,0.00356899898072813,0.00356899897654983,0.0367464000075234,0.328515318149399
"225","NsiI.TP403662",1,3957731,0.63707114094251,0.33178765170268,0.440426531380844,0.2036192186894,0.374925571290966,0.655800874579201,0.497028533478334,0.488563351530067,0.403574255331889,0.0969905816333861,0.103311123611484,0.239288921351495,0.00268688734786739,1.33178067690051,0.165965763105254,0.407427468667415,0.407427468677549,0.04004779268944,0.531882149340312
"3021","PstI.TP891020",1,4033768,0.931323484475115,1.24656325926077,0.832607236310245,0.501519436023791,0.478571769281878,0.950855163188092,0.923398693587881,0.782410845752344,0.61013309014371,0.0929374920739542,0.173921721227373,0.215726122381783,0.90510788453632,0.819690132186435,1.16810419698551,0.682992916746492,0.682992916743232,0.476082461722086,0.789646181913013
"2363","PstI.TP629259",1,4276027,0.0367866426120299,0.457889234743784,0.278512737549297,0.101574229691435,0.0681864463860186,0.208053217185957,0.107717329098505,0.188528878712044,0.115369573775585,0.425710634126583,0.317977496875684,0.904277271963652,1.03045552733839,0.132421516737691,0.336532847710905,0.163897797544923,0.163897797544831,0.28623819101005,0.138324267191189
"2362","PstI.TP629254",1,4276045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1264","PstI.TP140451",1,4460094,0.298003739827682,0.132208182601659,0.18990754558534,0.322251155625024,0.0498849518701339,0.170787653988938,0.360689198347612,0.299390267389009,0.758989999750815,1.00646048564192,0.0143493182926061,0.133015612370342,0.390370269675651,0.388888440408096,0.215825380763291,0.269969899847203,0.269969899847474,0.141321286256541,0.335896072419765
"1895","PstI.TP403850",1,4535788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1155","PstI.TP1250346",1,4555696,0.350219665292478,0.209791895640916,0.0620970138174933,0.169670697101801,0.490326093652488,0.0565247353888126,0.307214385414784,0.331868679934911,0.701733089646381,0.740480787167316,0.147387350703405,0.355617660998306,0.219966553929794,0.0936931097473768,0.857615757729491,0.354318020186907,0.354318020196947,0.11017723348141,0.229476832394682
"311","NsiI.TP468762",1,4620729,0.164071442455114,0.139470893766631,0.776086320638596,0.111835334050189,0.605678738246841,0.00297220111982798,0.41152966682294,0.327759297246401,0.367499930257027,0.0984413166101931,0.184481071061097,0.144050814012707,0.591395820051077,0.853712367090092,0.587039872118173,0.350203435391756,0.350203435376758,0.655343482286872,0.34205159872672
"1645","PstI.TP307588",1,4762662,0.342300321939239,0.0191160631897058,0.134606871262981,0.291348315575568,0.0472174551157098,0.0364444446557942,0.294305251863172,0.367399402563019,0.494933367857487,0.993891243574684,0.316269570663198,0.166263072257771,0.550028812684058,0.257608498291313,0.00928906155224938,0.385798081977493,0.385798081973311,0.228016653364026,0.381553370060574
"3090","PstI.TP920636",1,4777048,0.347291718278163,0.443265729617234,0.0208425902033018,0.414041824340227,0.521638322070553,0.267339412908655,0.53735077890165,0.876562156639772,0.648959675509796,0.128776144921051,0.150892235924787,0.527532518949435,0.11801434266615,0.536979386708091,1.22912406557548,0.718676463051908,0.718676463048831,0.193278355002927,0.156189407006355
"3167","PstI.TP947391",1,4891496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2475","PstI.TP683907",1,4900973,0.630235334749298,0.470111762628784,0.672352778388502,0.576739740366938,0.301811052165687,1.31190394001374,0.63215753667699,0.776274573007314,0.468205542008263,0.862989165801111,0.154331089682422,0.230966165356911,0.472423999315407,0.0647836475417814,0.0434056441911279,0.747735163442427,0.747735163427003,0.134326246298547,0.710113902591912
"1890","PstI.TP402429",1,4990016,0.35684747497821,0.497755496962708,0.280132908929459,0.37660415148026,0.26996509738163,0.341656565598868,0.311997120560817,0.372857873542242,0.608594290167702,2.25343367005509,0.656340686962392,0.316674420702867,0.194994610684004,0.0919552150277459,0.0791232438618548,0.374995719955201,0.374995719961105,0.106966738469937,0.318379168599387
"2645","PstI.TP748688",1,5063937,0.118450508815165,0.0394063549313183,0.190605866660394,0.191753148215656,0.060223488007898,0.40903966282998,0.242704808508909,0.235774523726387,0.254580789750861,0.0589861661744168,0.415109511216784,0.0125709391209539,0.151154644785884,0.0914883086794107,0.115153035055546,0.318627856976947,0.318627856968323,0.0263083456205555,0.184597336644629
"872","PstI.TP1126882",1,5115206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
