"","Name","Chromosome","Position","CmDW_g","Cml_cm","CmD_BI_mm","CmD_LI_mm","CmN.","Bcirc_cm","Yld_kg","SDW_kg","CCirc_cm","Lg","GS","FD","SRD","ADD","mc","Yld_1","Yld","AIL","CmDW.V","rrBLUP.CmDW_g","rrBLUP.Cml_cm","rrBLUP.CmD_BI_mm","rrBLUP.CmD_LI_mm","rrBLUP.CmN.","rrBLUP.Bcirc_cm","rrBLUP.Yld_kg","rrBLUP.SDW_kg","rrBLUP.CCirc_cm","rrBLUP.Lg","rrBLUP.GS","rrBLUP.FD","rrBLUP.SRD","rrBLUP.ADD","rrBLUP.mc","rrBLUP.Yld_1","rrBLUP.Yld"
"2104","PstI.TP506588",1,80675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2949","PstI.TP863331",1,161269,0.513978408167861,0.311803617381276,0.798273340540957,0.370382257906789,0.143014515118003,0.586564256856637,0.505731850309155,0.427755094549948,0.0126520403429041,0.0823420761436538,0.586096640940115,0.178370723983434,0.728857984364067,0.405205340468338,0.0995868359959267,0.481146831511039,0.481146831514924,0.298579005828725,0.628322590048278,0.306211566920538,0.487748994336221,0.159120692232739,0.426204216652709,0.719424932770022,0.259081106467287,0.312081589804975,0.373460698754858,0.971287857936495,0.827290284023676,0.259360215920449,0.66317672546426,0.186699010255154,0.393364043491926,0.795084274709081,0.330257864601445,0.33025786459849
"1936","PstI.TP424788",1,263370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3121","PstI.TP931820",1,284314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"28","NsiI.TP148773",1,285352,0.134152050283514,0.152652166918971,0.0493958150736633,0.0414436422941726,0.00851055265894853,0.084984810597056,0.286191283879059,0.26561513992265,0.176441760828469,0.120145182926722,0.0029658671406111,0.563892439140987,0.221499160522404,0.0257494806696142,0.000494089027007848,0.269507131241449,0.269507131248746,0.388692991012211,0.0178882576746646,0.734256753461375,0.703635646797243,0.89249169789958,0.908984248856045,0.980594487160125,0.822271408298508,0.517378903561757,0.542481409878671,0.66612884361891,0.758324027929932,0.993194104265452,0.272965374706485,0.600483169621535,0.942433074808237,0.998862964886647,0.537641604818569,0.537641604809535
"835","PstI.TP1106845",1,416796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1938","PstI.TP425356",1,569039,0.754382248238016,0.966885455143151,0.745748030333487,0.774358446328178,0.513897288637707,0.339700890162936,0.397052924981263,0.180576463960081,0.0917872798459933,1.2958413758871,0.623697481003102,0.947393256842698,0.507467910951595,0.263752371035216,0.938026652160603,0.32687326558652,0.326873265597208,0.487320803287185,0.738794764518969,0.176042590945342,0.107923133118188,0.179577520037781,0.168128583366464,0.306268767873938,0.457403106500954,0.400817869272723,0.659817053495371,0.809492296482191,0.0506009445937374,0.237849651266528,0.112877333921983,0.31083655644376,0.544813209576694,0.11533824738727,0.471114785535138,0.471114785523545
"3292","PstI.TP999740",1,569491,0.00692461615497499,0.0618357959916633,0.205252251425578,0.0345067141311235,0.0876885321583463,0.217116076046902,0.142475189432305,0.206682629704359,0.134373731967119,0.158382813235619,0.48637063170215,0.313384594697446,1.12495152426095,0.121945326864447,0.386503155973207,0.13898723782495,0.138987237829994,0.0652535334598946,0.0295004269315007,0.984181922987772,0.867289730559159,0.623372656538205,0.923619909276391,0.817168218945374,0.606574185820482,0.720318900760423,0.621322913826375,0.733882054392901,0.694411951347084,0.326309237408156,0.48597665261408,0.0749977916831338,0.75518729186752,0.41067365554088,0.726127295093993,0.726127295085561
"435","NsiI.TP585976",1,829048,0.47164193343027,0.627213461926319,0.543589942382383,0.453745651065628,0.142841376710287,0.422953364241431,0.814364915683915,0.884188657878626,0.814366259167325,1.56650270949274,0.588290554997763,0.0848667520116455,0.85076905344107,0.0660941653601783,0.200600502282721,0.799923533965388,0.799923533969978,0.0414223566079065,0.460968347781639,0.337565509545673,0.235931830957626,0.286028993327003,0.35176639574263,0.719711800148616,0.3776127378624,0.153332806336154,0.130560360965032,0.153332332004171,0.0271329672428029,0.258053316505809,0.8224949648923,0.141003842100703,0.858827287159136,0.630085517841428,0.158517226846223,0.158517226844547
"935","PstI.TP1152021",1,865447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2563","PstI.TP716618",1,918921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
