"","Name","Chromosome","Position","CmDW_g","Cml_cm","CmD_BI_mm","CmD_LI_mm","CmN.","Bcirc_cm","Yld_kg","SDW_kg","CCirc_cm","Lg","GS","FD","SRD","ADD","mc","Yld_1","Yld","AIL","CmDW.V","rrBLUP.CmDW_g","rrBLUP.Cml_cm","rrBLUP.CmD_BI_mm","rrBLUP.CmD_LI_mm","rrBLUP.CmN.","rrBLUP.Bcirc_cm","rrBLUP.Yld_kg","rrBLUP.SDW_kg","rrBLUP.CCirc_cm","rrBLUP.Lg","rrBLUP.GS","rrBLUP.FD","rrBLUP.SRD","rrBLUP.ADD","rrBLUP.mc","rrBLUP.Yld_1","rrBLUP.Yld"
"2811","PstI.TP506588",1,80675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3800","PstI.TP863331",1,161269,0.113476445671772,0.0627306328312952,0.337133755804682,0.131007864732657,0.0342956752710139,0.0755142182848024,0.242225877855766,0.190831995752895,0.0863456659819931,0.189242408123997,0.257481841929139,0.0363115586448318,0.431883591394887,0.0987593513945509,0.121977749000622,0.21556784046572,0.215567840465,0.218005600860785,0.199456772522176,0.770058207981969,0.865504573603551,0.460114843691062,0.7395918815077,0.924068837521553,0.840399492969695,0.572498195520433,0.644418506784449,0.819698865526453,0.646781503964551,0.552736517653303,0.919789486964391,0.369927322077911,0.796600635623118,0.755130915670481,0.608740447935225,0.608740447936234
"758","NsiI.TP611047",1,185165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2180","PstI.TP271714",1,262844,0.0772078183352608,0.0505595941504492,0.167376687355121,0.0370329133842179,0.460146320964012,0.293841473741193,0.232813393647079,0.307833955470034,0.387471062311844,0.122004824477087,0.274049037334153,0.150530254827992,0.0296311791570078,0.160126815901832,0.0418937679516946,0.240482712918877,0.240482712917156,0.0733962729741234,0.0717691618051896,0.837128603990405,0.890103289120151,0.680179146197398,0.918263002487926,0.346620048773985,0.508344964879744,0.585041408987649,0.492227693940792,0.409759411783838,0.755083839566877,0.532048180913203,0.707081940585792,0.93404719559456,0.691628982719991,0.908042617803897,0.574800698317756,0.574800698320034
"2617","PstI.TP424788",1,263370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4008","PstI.TP931820",1,284314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51","NsiI.TP148773",1,285352,0.131277986579574,0.173547333473043,0.0462758845044565,0.0366884579966023,0.120492442667112,0.170582403004772,0.34834861579932,0.309486286139533,0.159386686453257,0.204896690066078,0.297988502794051,0.273645836455405,0.0925980040265517,0.174741454408008,0.0232312148941339,0.305311850977475,0.305311850982441,0.661757910743425,0.00548874211764236,0.739132014259126,0.67058319629301,0.898926359350475,0.918991600524079,0.757717918105274,0.675176933816273,0.448385318673521,0.490358506760142,0.6928086693966,0.623883227120317,0.503513938284506,0.532542366116013,0.807982577080637,0.66874191668299,0.947913667314836,0.495094553850544,0.495094553844882
"727","NsiI.TP579900",1,335878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2619","PstI.TP425356",1,569039,0.823677239626935,0.777347377716673,0.919701653175023,0.812739555959135,0.67038491033706,0.327406918165533,0.461115565111058,0.212794943120947,0.198556036756291,0.971477452833486,0.198234916310229,1.31469688439499,0.312274842810588,0.0000195890636186688,1.16757237672601,0.394047393731515,0.394047393742695,0.195101905471129,0.907440123865412,0.150079979036941,0.166975449891704,0.120309063671087,0.15390773399239,0.213606807708337,0.470536244408818,0.345847336122525,0.612639587912955,0.633058673260241,0.106788023199183,0.633526934467493,0.0484510413388888,0.487220055812602,0.999954895531363,0.0679872732343344,0.40360134631633,0.40360134630594
"4201","PstI.TP999740",1,569491,0.220740965730863,0.0661744710238631,0.035577621949082,0.204927075035335,0.0905954363226419,0.0228544601240256,0.407268293489378,0.433350802846848,0.295470104354732,0.15260596123511,0.0647834971188137,0.190432318388104,0.943474752126917,0.387784580567504,0.464931119702687,0.395438689213082,0.395438689223193,0.0628733729559161,0.203220283168088,0.601532413580457,0.858668495551067,0.921345200937258,0.623839579295306,0.811716854350471,0.948736348612537,0.391499946017444,0.368679675998451,0.506442210421702,0.703710512348569,0.861423078614348,0.645011832402375,0.11390039963768,0.409463712201669,0.342822154769928,0.402310447484971,0.402310447475605
"972","NsiI.TP802651",1,754114,0.12003244937963,0.0970168854069974,0.0348548236619284,0.201967415969002,0.974311897677137,0.866548743576079,0.143085056531128,0.086526604748949,0.564375175650597,1.17741020856029,0.454889395611822,0.600619544168633,0.65807803890515,0.0722900414133181,0.0266781606701143,0.109018678444931,0.109018678458046,1.17299172768573,0.129221202231986,0.758520898158626,0.799803157986586,0.922879876687339,0.628105482232129,0.106093335202995,0.135972554424881,0.719308087789962,0.819357428053955,0.272662130823102,0.0664645075687959,0.35084121341806,0.250830564666244,0.219746497214477,0.846661786415694,0.940419962316566,0.778003089411874,0.778003089388381
"731","NsiI.TP585976",1,829048,1.10493050566439,0.947308366083534,1.22250667113296,0.856245143657446,0.74429371598899,0.514876243542061,1.25098155395943,1.22614575603162,1.21345024823433,1.41585537653776,0.216943228370981,0.37443749914113,0.530342661833928,0.36114402120026,0.349329104806055,1.22462468523665,1.22462468524558,0.253176606819985,1.12925018450331,0.0785361295416825,0.112899400007418,0.0599091735981601,0.139237063780268,0.180179876128716,0.305579176689397,0.0561071806253537,0.0594092738323337,0.0611715875688755,0.0383835044286601,0.606815648259884,0.422243041172083,0.294888161725816,0.43536747271707,0.447374159213418,0.0596177133779995,0.0596177133767745
"1425","PstI.TP1152021",1,865447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3344","PstI.TP716618",1,918921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1669","PstI.TP1246584",1,1015480,1.17031154485155,1.25571134087439,1.1470183390504,0.757942848385574,0.847708071360858,0.341859790107372,0.714710045327912,0.828366167427398,0.871807010791887,0.0636211006698061,0.289814786732874,0.341283714219397,0.747406854168668,0.670319885628704,0.51941474670048,0.876560247910739,0.876560247895447,0.575231068253117,0.925987659472123,0.0675598155417597,0.0554994474241493,0.0712822928957438,0.174605191204503,0.142001171938594,0.455134974579297,0.192881224584363,0.148468333090834,0.134336178367009,0.86373178016164,0.513080150276086,0.455739095208862,0.178892917070074,0.213638792365806,0.302402413718942,0.132873921374237,0.132873921378916
"2432","PstI.TP354591",1,1050082,0.0332505571666295,0.253844536035002,0.00114474069425821,0.042008948418223,0.0427451391325933,1.08027478008058,0.154376629701542,0.189303064908676,0.00946956846364609,0.0173715218446734,0.168654778201155,0.768038516599558,0.00138605264046461,0.165739870356615,0.0914400214570548,0.200762099156552,0.200762099143139,0.539998415209871,0.0433228797397395,0.926295262410497,0.557385239865571,0.997367607978341,0.907801825187854,0.906264275950223,0.0831237676855937,0.700847244694686,0.646691175976312,0.97843151225472,0.960790008667959,0.67818038073256,0.170593108710759,0.996813583287695,0.68274751740973,0.810139818880614,0.629851112585504,0.629851112604957
"3782","PstI.TP856852",1,1153760,0.0302678307372642,0.123213372290777,0.253187016170838,0.117243668011209,0.019383844762118,0.376473975007499,0.390448918855777,0.477201516045991,0.643181626165086,0.296121914756777,0.000253265768182054,0.56427990302007,0.0573773278502181,0.265345832785143,0.430548951663201,0.481378859354153,0.481378859348434,0.203021510130341,0.0528312987889486,0.932678937443473,0.752985525135772,0.558229757712465,0.76340734124121,0.956348443208288,0.420267711364387,0.406959397021926,0.333271736180833,0.227414616188637,0.505682687286884,0.999417004025851,0.272721952186478,0.876239187886162,0.542817908332529,0.371065902305227,0.33008146688797,0.330081466892318
"1049","PstI.TP1010387",1,1174408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
