"","SNP","Trait.name","X","Chromosome","Position","P.value","Method","Software","Ind.SNP","PS","PVE"
"1","PstI.TP459121","OWA19",262,1,78162835,0.000000140465176371847,"rrBLUP","rrBLUP","O102+4322","PCA=3","25.1217741953021"
"2","PstI.TP298201","OWA19",264,6,1375822,0.0000359539415307062,"rrBLUP","rrBLUP","O112+3450","PCA=3","11.5498917111145"
"3","PstI.TP459121","OWA19",263,1,78162835,0.000000079075727053493,"rrBLUP","rrBLUP","O112+3450","PCA=3","23.9756637603247"
"4","PstI.TP1200270","OWA19",266,2,13518060,0.0000840629508041297,"rrBLUP","rrBLUP","O122+2646","PCA=3","13.3295918838533"
"5","PstI.TP298201","OWA19",267,6,1375822,0.0000312708039797555,"rrBLUP","rrBLUP","O122+2646","PCA=3","10.0735512608626"
"6","PstI.TP459121","OWA19",265,1,78162835,0.000000931652270644639,"rrBLUP","rrBLUP","O122+2646","PCA=3","19.1895670866143"
"7","NsiI.TP359278","GS",14,6,53064783,0.0000449984713772573,"rrBLUP","rrBLUP","C106+4202","PCA=3","12.1349147756682"
"8","NsiI.TP36864","GS",10,4,6582638,0.00000744085349043442,"rrBLUP","rrBLUP","C106+4202","PCA=3","21.9571342489169"
"9","NsiI.TP422411","GS",9,3,70832262,0.0000414353188656762,"rrBLUP","rrBLUP","C106+4202","PCA=3","19.4392851952024"
"10","NsiI.TP503227","GS",15,7,87451,0.0000705255791541326,"rrBLUP","rrBLUP","C106+4202","PCA=3","16.3042363374849"
"11","NsiI.TP726681","GS",8,3,62054481,0.00000624370885466112,"rrBLUP","rrBLUP","C106+4202","PCA=3","19.4776998582493"
"12","NsiI.TP751198","GS",26,11,18320,0.0000981159616322763,"rrBLUP","rrBLUP","C106+4202","PCA=3","18.2587585526575"
"13","PstI.TP1000965","Lg",2,6,57296544,0.00000545442255086299,"rrBLUP","rrBLUP","C106+4202","PCA=3","7.10022807405585"
"14","PstI.TP105605","GS",7,3,54845915,0.000160555169186783,"rrBLUP","rrBLUP","C106+4202","PCA=3","3.86654945950315"
"15","PstI.TP10852","GS",19,10,58028954,0.000000688068948786125,"rrBLUP","rrBLUP","C106+4202","PCA=3","13.7463720809241"
"16","PstI.TP110898","CmN",1,10,9880843,0.00000625036263147604,"rrBLUP","rrBLUP","C106+4202","PCA=3","15.0158264972038"
"17","PstI.TP110898","GS",18,10,9880843,0.0000337373313290261,"rrBLUP","rrBLUP","C106+4202","PCA=3","19.483006311817"
"18","PstI.TP1148487","GS",12,4,48397503,0.00000559421133703734,"rrBLUP","rrBLUP","C106+4202","PCA=3","17.5256331535051"
"19","PstI.TP13650","GS",3,1,1521127,0.00000233085197563775,"rrBLUP","rrBLUP","C106+4202","PCA=3","23.6257314780023"
"20","PstI.TP249196","GS",17,8,60970122,0.000233260195416559,"rrBLUP","rrBLUP","C106+4202","PCA=3","14.7426955131767"
"21","PstI.TP292777","GS",16,7,64227793,0.00000686014621714643,"rrBLUP","rrBLUP","C106+4202","PCA=3","21.1403045025119"
"22","PstI.TP426523","GS",20,11,3290,0.000282361114520477,"rrBLUP","rrBLUP","C106+4202","PCA=3","15.4388441176995"
"23","PstI.TP438135","GS",11,4,14593222,0.000170699460925624,"rrBLUP","rrBLUP","C106+4202","PCA=3","15.6488428053477"
"24","PstI.TP447831","GS",21,11,3432,0.0000458343352618282,"rrBLUP","rrBLUP","C106+4202","PCA=3","18.3276006792058"
"25","PstI.TP529090","GS",22,11,3947,0.000258822925567074,"rrBLUP","rrBLUP","C106+4202","PCA=3","12.6713813333723"
"26","PstI.TP619305","GS",6,1,79505879,0.0000377811140736663,"rrBLUP","rrBLUP","C106+4202","PCA=3","12.537457620187"
"27","PstI.TP646910","GS",23,11,4558,0.0000727661275842003,"rrBLUP","rrBLUP","C106+4202","PCA=3","18.2510563174277"
"28","PstI.TP739746","GS",24,11,5106,0.000217674064445204,"rrBLUP","rrBLUP","C106+4202","PCA=3","14.9942295535648"
