"","SNP","Trait.name","X","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","Method","PS","Software","PVE"
"1","NsiI.TP217838","CmN",7605,3,3586934,0.000143547202332625,0.0518867924528302,96,NA,NA,0.0219706968014656,NA,0.0219706968014657,"C106+4202","MLM+SUPER","PS_Y","GAPIT","8.02584200081145"
"2","NsiI.TP232571","Lg",7621,4,62107475,0.0000451888613884112,0.0613207547169812,96,NA,NA,0.0156317608775674,NA,0.0156317608775674,"C106+4202","MLM+SUPER","PS_Y","GAPIT","0.266341411806819"
"3","NsiI.TP331619","Lg",7630,7,62232374,0.00019358786036343,0.108490566037736,96,NA,NA,0.0318984338506899,NA,0.0318984338506898,"C106+4202","MLM+SUPER","PS_Y","GAPIT","1.6443527217372"
"4","NsiI.TP336547","Lg",7631,6,58396661,0.00019683244118393,0.0990566037735849,96,NA,NA,0.0318984338506899,NA,0.0318984338506898,"C106+4202","MLM+SUPER","PS_Y","GAPIT","6.5306727245467"
"5","NsiI.TP346008","CmDW",7586,4,67938088,0.0000883816281737348,0.113207547169811,96,NA,NA,0.0405818976031066,NA,0.0405818976031066,"C106+4202","MLM+SUPER","PS_Y","GAPIT","20.0835272103383"
"6","NsiI.TP356679","Lg",7628,2,59751156,0.000149785061243928,0.10377358490566,96,NA,NA,0.0290779534941421,NA,0.0290779534941421,"C106+4202","MLM+SUPER","PS_Y","GAPIT","0.00146288434367717"
"7","NsiI.TP359278","CmN",7604,6,53064783,0.000117425201672789,0.113207547169811,96,NA,NA,0.0190297900357961,NA,0.0190297900357961,"C106+4202","MLM+SUPER","PS_Y","GAPIT","10.3941433409112"
"8","NsiI.TP56324","Lg",7617,9,53718156,0.0000137190152803725,0.113207547169811,96,NA,NA,0.0102309322895309,NA,0.0102309322895309,"C106+4202","MLM+SUPER","PS_Y","GAPIT","3.14667264140609"
"9","NsiI.TP575618","CmN",7599,7,3778581,0.0000435006846952406,0.0660377358490566,96,NA,NA,0.00998703219461565,NA,0.00998703219461566,"C106+4202","MLM+SUPER","PS_Y","GAPIT","0.25496471812067"
"10","NsiI.TP609151","Lg",7620,5,68282440,0.0000257866872983042,0.089622641509434,96,NA,NA,0.011840387251138,NA,0.011840387251138,"C106+4202","MLM+SUPER","PS_Y","GAPIT","6.9177123318578"
"11","NsiI.TP7588","Lg",7618,2,74438360,0.000014854348151769,0.0943396226415094,96,NA,NA,0.0102309322895309,NA,0.0102309322895309,"C106+4202","MLM+SUPER","PS_Y","GAPIT","0.00206517723087187"
"12","NsiI.TP780526","CmDW",7583,11,18741,0.0000597878081441101,0.0660377358490566,96,NA,NA,0.0405818976031066,NA,0.0405818976031066,"C106+4202","MLM+SUPER","PS_Y","GAPIT","0.0382021363055721"
