"","SNP","Trait.name","X","Chromosome","Position","P.value","maf","effect","Adj.P.P.value","Ind.SNP","PS","Software","Method","PVE"
"1","NsiI.TP127922","CmDW_g",28,4,54754163,0.0000000158148025240842,0.178547981653753,-0.42758056972176,0.000138295176472275,"124+36088im","PS_N","FarmCPU","FarmCPU",1.98391680786651
"2","NsiI.TP127922","Cml_cm",60,4,54754163,0.000000280974563456747,0.178547981653753,-11.5303602774773,0.00290941385000434,"124+36088im","PS_N","FarmCPU","FarmCPU",0.106027992195928
"3","NsiI.TP127922","CmN",50,4,54754163,0.0000000539856103064367,0.178547981653753,-0.18556525546745,0.000283251700155812,"124+36088im","PS_N","FarmCPU","FarmCPU",4.03091904029897
"4","NsiI.TP128678","SDW_kg",192,3,69000501,0.00000165575015123874,0.408573677632225,0.334229487812037,0.00868738989351942,"124+36088im","PS_N","FarmCPU","FarmCPU",0.956940448488637
"5","NsiI.TP128678","Yld",202,3,69000501,0.000000510461016903716,0.408573677632225,0.696627651741769,0.00446381143915069,"124+36088im","PS_N","FarmCPU","FarmCPU",1.32857310429877
"6","NsiI.TP128678","Yld_1",206,3,69000501,0.000000510461016860006,0.408573677632225,0.586139121716546,0.00446381143876846,"124+36088im","PS_N","FarmCPU","FarmCPU",1.32857310427728
"7","NsiI.TP128678","Yld_kg",211,3,69000501,0.0000000450330573252059,0.408573677632225,0.728954571783393,0.000590698612934726,"124+36088im","PS_N","FarmCPU","FarmCPU",1.87229981576048
"8","NsiI.TP130539","FNMain",94,2,59242986,0.000000649123185648986,0.0568585726766399,1.71080257089196,0.0034058195304631,"124+36088im","PS_N","FarmCPU","FarmCPU",1.64656157215665
"9","NsiI.TP131578","Lg",184,4,62909243,0.00000729724405357235,0.445091136441832,-0.0272806880609148,0.0239294875626771,"124+36088im","PS_N","FarmCPU","FarmCPU",0.277970200957619
"10","NsiI.TP165765","CmD_BI_mm",38,11,10960,0.000000783019018318412,0.110101981067593,0.16113625807565,0.00875859585011484,"124+36088im","PS_N","FarmCPU","FarmCPU",1.39265328933653
