"","Name","Chromosome","Position","P.value","maf","effect","Adj.P.P.value","Ind.SNP","PS","Software","Method","Trait.name"
"1","NsiI.TP127922",4,54754163,0.000000474721191312679,0.178547981653753,-0.268633982641205,0.0124538357328968,"124+36088im","PS_Y","FarmCPU","FarmCPU","CmN"
"2","NsiI.TP387064",1,78909565,0.00000930954722184441,0.269027368775732,0.293894478451652,0.0488453323635733,"124+36088im","PS_Y","FarmCPU","FarmCPU","FD"
"3","PstI.TP1239894",2,61692152,0.00000158692712869511,0.159034344108099,0.443052778545638,0.0208157231470938,"124+36088im","PS_Y","FarmCPU","FarmCPU","FD"
"4","PstI.TP47906",4,62352139,0.00000318504225755797,0.247210987088923,-0.482062291212672,0.0208890996461939,"124+36088im","PS_Y","FarmCPU","FarmCPU","FD"
"5","PstI.TP649005",5,24767427,0.00000312919781086859,0.137254901960784,-0.474411381302662,0.0208890996461939,"124+36088im","PS_Y","FarmCPU","FarmCPU","FD"
"6","PstI.TP1029976",10,44209597,0.0000000343722806270396,0.397127973654572,-0.377077713737083,0.000901722409969757,"124+36088im","PS_Y","FarmCPU","FarmCPU","FD"
"7","PstI.TP696637",1,23943590,0.00000000146700551923301,0.235541773724441,-0.210236907774748,0.00000641423713192646,"124+36088im","PS_Y","FarmCPU","FarmCPU","GS"
"8","NsiI.TP45485",1,55585048,0.00000269183218604856,0.0505974434661803,-0.204262223261666,0.00759549540464098,"124+36088im","PS_Y","FarmCPU","FarmCPU","GS"
"9","PstI.TP985033",2,4786608,0.000000000000589410014277694,0.14798567099601,-0.798432027158125,0.00000000386564557864026,"124+36088im","PS_Y","FarmCPU","FarmCPU","GS"
"10","PstI.TP111430",2,60561163,0.00000289528680515399,0.0513239267074639,-0.256268318308687,0.00759549540464098,"124+36088im","PS_Y","FarmCPU","FarmCPU","GS"
"11","PstI.TP1266759",3,52149252,0.00000278253853831452,0.0540791527765271,0.238389623990139,0.00759549540464098,"124+36088im","PS_Y","FarmCPU","FarmCPU","GS"
"12","PstI.TP523812",5,18073563,0.00000000000000254360384341965,0.0800726187350504,-0.570817818852169,0.0000000000333644516141355,"124+36088im","PS_Y","FarmCPU","FarmCPU","GS"
"13","PstI.TP1044360",6,46082788,0.00000000069236877258603,0.0667491714224986,-0.347228774520328,0.00000363272047600438,"124+36088im","PS_Y","FarmCPU","FarmCPU","GS"
"14","PstI.TP59966",7,7754399,0.0000124081025955232,0.211187420942436,-0.0962212795608015,0.029592196680996,"124+36088im","PS_Y","FarmCPU","FarmCPU","GS"
"15","NsiI.TP333672",7,64061849,0.00000000243569441896379,0.0563213050767261,-0.273590969725647,0.00000912828676958515,"124+36088im","PS_Y","FarmCPU","FarmCPU","GS"
"16","PstI.TP1133587",10,42973263,0.00000000000000000000000188143231893798,0.0505301396941085,1.12884846003779,0.000000000000000000049357495455019,"124+36088im","PS_Y","FarmCPU","FarmCPU","GS"
"17","PstI.TP762573",11,5263,0.000000000000382136676481877,0.0584973737786728,0.387953581870116,0.00000000334165785694185,"124+36088im","PS_Y","FarmCPU","FarmCPU","GS"
"18","PstI.TP753013",2,57739584,0.00000116522731483515,0.0547159705113325,-0.0852533710439406,0.00509476222956422,"124+36088im","PS_Y","FarmCPU","FarmCPU","Lg"
"19","PstI.TP103361",2,74859736,0.0000000000148080829460327,0.0540264539587302,-0.142231431680294,0.000000129491749335407,"124+36088im","PS_Y","FarmCPU","FarmCPU","Lg"
"20","PstI.TP161171",5,67800245,0.0000000438335563910927,0.0683620454595363,0.0678088818955295,0.000287482379590981,"124+36088im","PS_Y","FarmCPU","FarmCPU","Lg"
"21","PstI.TP164417",6,45489615,0.000000060776232316896,0.214623424564758,-0.040430787703863,0.00031888073572029,"124+36088im","PS_Y","FarmCPU","FarmCPU","Lg"
"22","PstI.TP1116298",6,57959042,0.00000569894426216246,0.0568955648716281,-0.0595308487761345,0.0213580148247957,"124+36088im","PS_Y","FarmCPU","FarmCPU","Lg"
"23","PstI.TP847211",7,64315939,0.0000106575927836182,0.071466971495404,-0.0693141535341992,0.03494891113568,"124+36088im","PS_Y","FarmCPU","FarmCPU","Lg"
"24","NsiI.TP423888",9,7279333,0.000000000000000377230675105531,0.0937571536455095,0.153083622074468,0.0000000000098962695307185,"124+36088im","PS_Y","FarmCPU","FarmCPU","Lg"
"25","NsiI.TP56527",11,9790,0.000000000000702759303789257,0.0772743622339824,-0.100897627092237,0.00000000921809378780368,"124+36088im","PS_Y","FarmCPU","FarmCPU","Lg"
"26","PstI.TP627658",2,73988488,0.000000110738951918746,0.24959916152012,0.118848579450057,0.00145256283231819,"124+36088im","PS_Y","FarmCPU","FarmCPU","OWA"
"27","NsiI.TP27442",2,76412261,0.00000482197218567944,0.199031936243465,-0.119613599883069,0.0210832697198524,"124+36088im","PS_Y","FarmCPU","FarmCPU","OWA"
"28","PstI.TP365886",3,2326972,0.0000071768859800924,0.417064840080105,0.0877426051057672,0.0268969181145349,"124+36088im","PS_Y","FarmCPU","FarmCPU","OWA"
"29","NsiI.TP326908",3,6141142,0.00000000729978203707929,0.391492697214502,-0.131686591553093,0.000191502481960738,"124+36088im","PS_Y","FarmCPU","FarmCPU","OWA"
"30","PstI.TP133743",4,55575218,0.0000117826727751194,0.274132580127897,-0.10683690473212,0.0386383296978103,"124+36088im","PS_Y","FarmCPU","FarmCPU","OWA"
