,SNP,Trait.name,X,Chromosome,Position,P.value,maf,effect,Adj.P.P.value,Ind.SNP,PS,Software,Method,PVE
1,NsiI.TP127922,CmN,1,4,54754163,4.74721E-07,0.178547982,-0.268633983,0.012453836,124+36088im,PS_Y,FarmCPU,FarmCPU,4.03091904
2,NsiI.TP333672,GS,15,7,64061849,2.43569E-09,0.056321305,-0.27359097,9.12829E-06,124+36088im,PS_Y,FarmCPU,FarmCPU,4.283474492
3,NsiI.TP387064,FD,2,1,78909565,9.30955E-06,0.269027369,0.293894478,0.048845332,124+36088im,PS_Y,FarmCPU,FarmCPU,2.271743748
4,NsiI.TP423888,Lg,24,9,7279333,3.77231E-16,0.093757154,0.153083622,9.89627E-12,124+36088im,PS_Y,FarmCPU,FarmCPU,1.34960117
5,NsiI.TP45485,GS,8,1,55585048,2.69183E-06,0.050597443,-0.204262223,0.007595495,124+36088im,PS_Y,FarmCPU,FarmCPU,8.883609054
6,NsiI.TP56527,Lg,25,11,9790,7.02759E-13,0.077274362,-0.100897627,9.21809E-09,124+36088im,PS_Y,FarmCPU,FarmCPU,1.06444996
7,PstI.TP1029976,FD,6,10,44209597,3.43723E-08,0.397127974,-0.377077714,0.000901722,124+36088im,PS_Y,FarmCPU,FarmCPU,1.191828846
8,PstI.TP103361,Lg,19,2,74859736,1.48081E-11,0.054026454,-0.142231432,1.29492E-07,124+36088im,PS_Y,FarmCPU,FarmCPU,0.596342664
9,PstI.TP1044360,GS,13,6,46082788,6.92369E-10,0.066749171,-0.347228775,3.63272E-06,124+36088im,PS_Y,FarmCPU,FarmCPU,0.321952996
10,PstI.TP111430,GS,10,2,60561163,2.89529E-06,0.051323927,-0.256268318,0.007595495,124+36088im,PS_Y,FarmCPU,FarmCPU,1.666720586
11,PstI.TP1116298,Lg,22,6,57959042,5.69894E-06,0.056895565,-0.059530849,0.021358015,124+36088im,PS_Y,FarmCPU,FarmCPU,0.359977223
12,PstI.TP1133587,GS,16,10,42973263,1.88143E-24,0.05053014,1.12884846,4.93575E-20,124+36088im,PS_Y,FarmCPU,FarmCPU,2.38457486
13,PstI.TP1239894,FD,3,2,61692152,1.58693E-06,0.159034344,0.443052779,0.020815723,124+36088im,PS_Y,FarmCPU,FarmCPU,1.184594594
14,PstI.TP1266759,GS,11,3,52149252,2.78254E-06,0.054079153,0.238389624,0.007595495,124+36088im,PS_Y,FarmCPU,FarmCPU,0.371874784
15,PstI.TP161171,Lg,20,5,67800245,4.38336E-08,0.068362045,0.067808882,0.000287482,124+36088im,PS_Y,FarmCPU,FarmCPU,0.031867922
16,PstI.TP164417,Lg,21,6,45489615,6.07762E-08,0.214623425,-0.040430788,0.000318881,124+36088im,PS_Y,FarmCPU,FarmCPU,2.001140751
17,PstI.TP47906,FD,4,4,62352139,3.18504E-06,0.247210987,-0.482062291,0.0208891,124+36088im,PS_Y,FarmCPU,FarmCPU,2.840825768
18,PstI.TP523812,GS,12,5,18073563,2.5436E-15,0.080072619,-0.570817819,3.33645E-11,124+36088im,PS_Y,FarmCPU,FarmCPU,1.324136338
19,PstI.TP59966,GS,14,7,7754399,1.24081E-05,0.211187421,-0.09622128,0.029592197,124+36088im,PS_Y,FarmCPU,FarmCPU,0.476688632
20,PstI.TP649005,FD,5,5,24767427,3.1292E-06,0.137254902,-0.474411381,0.0208891,124+36088im,PS_Y,FarmCPU,FarmCPU,1.768818742
21,PstI.TP696637,GS,7,1,23943590,1.46701E-09,0.235541774,-0.210236908,6.41424E-06,124+36088im,PS_Y,FarmCPU,FarmCPU,7.025891213
22,PstI.TP753013,Lg,18,2,57739584,1.16523E-06,0.054715971,-0.085253371,0.005094762,124+36088im,PS_Y,FarmCPU,FarmCPU,0.038960159
23,PstI.TP762573,GS,17,11,5263,3.82137E-13,0.058497374,0.387953582,3.34166E-09,124+36088im,PS_Y,FarmCPU,FarmCPU,8.349184397
24,PstI.TP847211,Lg,23,7,64315939,1.06576E-05,0.071466971,-0.069314154,0.034948911,124+36088im,PS_Y,FarmCPU,FarmCPU,0.033632513
25,PstI.TP985033,GS,9,2,4786608,5.8941E-13,0.147985671,-0.798432027,3.86565E-09,124+36088im,PS_Y,FarmCPU,FarmCPU,0.912010825
26,NsiI.TP113145,GS,43,10,2711069,9.78029E-06,0.056603774,-0.224578668,0.005388937,C106+4202,PS_Y,FarmCPU,FarmCPU,5.324536388
27,NsiI.TP218789,AIL,35,3,51796050,3.63213E-06,0.25,0.388705321,0.005003262,C106+4202,PS_Y,FarmCPU,FarmCPU,9.257474973
