"","SNP","Chromosome","Position","P.value","Method","Trait.name","Software","Ind.SNP","PS"
"1","PstI.TP110898",10,9880843,0.00000625036263147604,"rrBLUP","CmN","rrBLUP","C106+4202","PCA=3"
"2","PstI.TP1000965",6,57296544,0.00000545442255086299,"rrBLUP","Lg","rrBLUP","C106+4202","PCA=3"
"3","PstI.TP13650",1,1521127,0.00000233085197563775,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"4","PstI.TP754866",1,69204551,0.000299973708199595,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"5","PstI.TP921276",1,70382591,0.00000963180887449528,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"6","PstI.TP619305",1,79505879,0.0000377811140736663,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"7","PstI.TP105605",3,54845915,0.000160555169186783,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"8","NsiI.TP726681",3,62054481,0.00000624370885466112,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"9","NsiI.TP422411",3,70832262,0.0000414353188656762,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"10","NsiI.TP36864",4,6582638,0.00000744085349043442,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"11","PstI.TP438135",4,14593222,0.000170699460925624,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"12","PstI.TP1148487",4,48397503,0.00000559421133703734,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"13","PstI.TP923354",5,13005905,0.000357271468386087,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"14","NsiI.TP359278",6,53064783,0.0000449984713772573,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"15","NsiI.TP503227",7,87451,0.0000705255791541326,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"16","PstI.TP292777",7,64227793,0.00000686014621714643,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"17","PstI.TP249196",8,60970122,0.000233260195416559,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"18","PstI.TP110898",10,9880843,0.0000337373313290261,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"19","PstI.TP10852",10,58028954,0.000000688068948786125,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"20","PstI.TP426523",11,3290,0.000282361114520477,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"21","PstI.TP447831",11,3432,0.0000458343352618282,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"22","PstI.TP529090",11,3947,0.000258822925567074,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"23","PstI.TP646910",11,4558,0.0000727661275842003,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"24","PstI.TP739746",11,5106,0.000217674064445204,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"25","PstI.TP856013",11,5962,0.00000470912213581297,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"26","NsiI.TP751198",11,18320,0.0000981159616322763,"rrBLUP","GS","rrBLUP","C106+4202","PCA=3"
"27","PstI.TP10996",6,57974096,0.0000204381038515682,"rrBLUP","CmDW_g","rrBLUP","C116+3293","PCA=3"
"28","PstI.TP110898",10,9880843,0.000011954283356414,"rrBLUP","CmN","rrBLUP","C116+3293","PCA=3"
"29","PstI.TP1000965",6,57296544,0.000013113605339767,"rrBLUP","Lg","rrBLUP","C116+3293","PCA=3"
"30","PstI.TP84880",1,63680478,0.00000258606354768642,"rrBLUP","GS","rrBLUP","C116+3293","PCA=3"
"31","PstI.TP694159",3,61030989,0.000098822808701931,"rrBLUP","GS","rrBLUP","C116+3293","PCA=3"
"32","PstI.TP478050",3,63462498,0.0000010112812397449,"rrBLUP","GS","rrBLUP","C116+3293","PCA=3"
"33","PstI.TP458650",3,63973238,0.000021411930548096,"rrBLUP","GS","rrBLUP","C116+3293","PCA=3"
"34","PstI.TP171713",4,6902976,0.0000126289820869527,"rrBLUP","GS","rrBLUP","C116+3293","PCA=3"
"35","PstI.TP1148487",4,48397503,0.000170550228003705,"rrBLUP","GS","rrBLUP","C116+3293","PCA=3"
"36","PstI.TP847969",11,5876,0.0000583991157999189,"rrBLUP","GS","rrBLUP","C116+3293","PCA=3"
"37","PstI.TP1216947",11,8569,0.000165018693129912,"rrBLUP","GS","rrBLUP","C116+3293","PCA=3"
"38","PstI.TP459121",1,78162835,0.000025356657622242,"rrBLUP","CmDW_g","rrBLUP","C124+2560","PCA=3"
"39","PstI.TP459121",1,78162835,0.0000207623670304766,"rrBLUP","CmD_BI_mm","rrBLUP","C124+2560","PCA=3"
"40","PstI.TP1000965",6,57296544,0.0000243944313619079,"rrBLUP","Lg","rrBLUP","C124+2560","PCA=3"
"41","PstI.TP84880",1,63680478,0.00000279031000822371,"rrBLUP","GS","rrBLUP","C124+2560","PCA=3"
"42","PstI.TP460957",2,63153566,0.0000231030888135429,"rrBLUP","GS","rrBLUP","C124+2560","PCA=3"
"43","PstI.TP694159",3,61030989,0.0000897040497505204,"rrBLUP","GS","rrBLUP","C124+2560","PCA=3"
"44","PstI.TP171713",4,6902976,0.000000471611822193179,"rrBLUP","GS","rrBLUP","C124+2560","PCA=3"
"45","PstI.TP1148487",4,48397503,0.0000144722236899703,"rrBLUP","GS","rrBLUP","C124+2560","PCA=3"
"46","PstI.TP404112",4,61296221,0.0000942509195648304,"rrBLUP","GS","rrBLUP","C124+2560","PCA=3"
"47","PstI.TP1136227",9,52020995,0.000219200640926481,"rrBLUP","GS","rrBLUP","C124+2560","PCA=3"
"48","PstI.TP624488",11,4383,0.0000322645199046521,"rrBLUP","GS","rrBLUP","C124+2560","PCA=3"
"49","PstI.TP96410",3,4423816,0.0000251665040323058,"rrBLUP","FNsmall","rrBLUP","F106+4185","PCA=3"
"50","PstI.TP651320",5,35481232,0.0000113228864556933,"rrBLUP","FNsmall","rrBLUP","F106+4185","PCA=3"
"51","PstI.TP723544",9,1942972,0.0000000921680280610256,"rrBLUP","CmDW_g","rrBLUP","124im+36088","PCA=3"
"52","PstI.TP723544",9,1942972,0.00000016390927778893,"rrBLUP","CmN","rrBLUP","124im+36088","PCA=3"
"53","PstI.TP723544",9,1942972,0.000000121665376483409,"rrBLUP","Yld_kg","rrBLUP","124im+36088","PCA=3"
"54","PstI.TP723544",9,1942972,0.000000167984636341307,"rrBLUP","SDW_kg","rrBLUP","124im+36088","PCA=3"
"55","PstI.TP731711",1,2484952,0.00000991599902632914,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"56","NsiI.TP546327",1,64568428,0.0000368783671905268,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"57","PstI.TP1043092",2,8205665,0.00000860865505959707,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"58","PstI.TP1080568",2,60958321,0.0000328077303886555,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"59","NsiI.TP736796",2,69108801,0.0000104791715012249,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"60","PstI.TP1158544",3,3329218,0.0000655125410764114,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"61","NsiI.TP487878",3,16015288,0.0000198008108899651,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"62","PstI.TP309206",3,45627127,0.000016216443517854,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"63","NsiI.TP36218",3,63029747,0.00000296300758795603,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"64","NsiI.TP128994",3,70221019,0.000000624692574209938,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"65","PstI.TP930933",4,68012745,0.0000250804754628519,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"66","PstI.TP814438",6,50194797,0.0000172504182056629,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"67","PstI.TP1000965",6,57296544,0.0000258041508271208,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"68","PstI.TP775944",6,58413507,0.000021863130563811,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"69","NsiI.TP255006",6,59462133,0.0000557378079287434,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"70","PstI.TP717722",8,162336,0.0000180415129009873,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"71","NsiI.TP558275",8,61989511,0.0000105813850785836,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"72","PstI.TP98014",11,806,0.000000344810997559999,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"73","PstI.TP119679",11,995,0.0000312711865144862,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"74","PstI.TP316592",11,2507,0.00000000149986561821686,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"75","PstI.TP350131",11,2755,0.00000971780419782785,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"76","PstI.TP378319",11,2960,0.00000147009080866772,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"77","PstI.TP421743",11,3266,0.0000148819928048326,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"78","PstI.TP602083",11,4266,0.0000390317373736972,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"79","PstI.TP949153",11,6629,0.0000000572884864379652,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"80","PstI.TP1047764",11,7272,0.00000966800494610595,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
