"","SNP","Chromosome","Position","Trait.name","Method","QTN.effect","LOD.score","PVE","MAF","Genotype.for.code.1","Var_error","Var_phen..total.","Software","Ind.SNP","PS","P.value"
"1","PstI.TP622176",3,65129470,"HW_50","mrMLM",0.0234,6.4431,27.8111,0.3772,"C",0.0011,0.0014,"mrMLMM","F116+36088im","PS_N",0.0000000512035414938307
"96","PstI.TP1009395",11,6997,"HW_50","ISIS EM-BLASSO",-0.0003,3.2678,0.0018,0.0259,"C",0.0005,0.0014,"mrMLMM","F116+36088im","PS_N",0.000104809343336287
"110","NsiI.TP30868",1,51136397,"FW_50","mrMLM",-0.0267,5.611,4.0976,0.1009,"G",0.0006,0.0027,"mrMLMM","F116+36088im","PS_N",0.000000371193190044141
"2","PstI.TP622176",3,65129470,"FW_50","mrMLM",0.0204,6.4173,9.125,0.3772,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000544502652842421
"3","PstI.TP935651",4,66370793,"FW_50","mrMLM",0.0293,8.0154,22.661,0.2018,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000123651673934917
"4","NsiI.TP821811",4,48427329,"FW_50","mrMLM",-0.0287,10.0707,20.262,0.136,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000976337566582641
"5","NsiI.TP825923",6,52448208,"FW_50","mrMLM",0.0179,3.8319,8.859,0.1842,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000266072505979881
"6","NsiI.TP607068",8,1666575,"FW_50","mrMLM",-0.0195,6.0722,9.5075,0.1754,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000123680149063224
"7","NsiI.TP383484",9,6111601,"FW_50","mrMLM",0.0156,3.7517,3.3706,0.1842,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000323146904447989
"8","PstI.TP125419",10,50424324,"FW_50","mrMLM",-0.019,4.7106,3.3338,0.2281,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000320036859458652
"9","PstI.TP661215",3,54129611,"FW_50","FASTmrMLM",0.0146,7.7105,7.7129,0.2198,"A",0.0007,0.0027,"mrMLMM","F116+36088im","PS_N",0.00000000254155785350171
"10","NsiI.TP383484",9,6111601,"FW_50","FASTmrMLM",0.0127,5.4414,2.8108,0.1983,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000556416499872997
"11","PstI.TP125419",10,50424324,"FW_50","FASTmrMLM",-0.0095,3.8602,1.0399,0.2241,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00002484848985453
"12","PstI.TP108730",11,899,"FW_50","FASTmrMLM",-0.0156,4.2915,5.3037,0.2112,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000877000821143634
"13","PstI.TP187918",11,1532,"FW_50","FASTmrMLM",0.0111,3.5386,3.9084,0.25,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000542000890401624
"14","PstI.TP332845",3,68039381,"FW_50","pLARmEB",-0.000058215,3.7471,0.00009088,0.4353,"C",0.0007,0.0027,"mrMLMM","F116+36088im","PS_N",0.0000326738266063143
"15","PstI.TP1052140",6,19137861,"FW_50","pLARmEB",0.0264,4.6218,3.4006,0.1034,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000396186798370326
"16","NsiI.TP211131",6,32284894,"FW_50","pLARmEB",-0.0288,8.7545,4.0464,0.0647,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000216222059671188
"17","NsiI.TP493682",7,59972191,"FW_50","pLARmEB",-0.0076,3.1962,2.122,0.2414,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000124824547392454
"18","NsiI.TP383484",9,6111601,"FW_50","pLARmEB",0.0049,5.2228,0.4191,0.1983,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000938209875556287
"19","PstI.TP125419",10,50424324,"FW_50","pLARmEB",-0.0131,4.6113,1.9767,0.2241,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000406256198186843
"20","PstI.TP187918",11,1532,"FW_50","pLARmEB",0.0129,4.3879,5.2827,0.25,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000695184371278247
"21","PstI.TP437620",11,3351,"FW_50","pLARmEB",0.0006,5.0271,0.011,0.2802,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000001498649247639
"22","PstI.TP497572",11,3771,"FW_50","pLARmEB",0.0146,5.1938,4.0905,0.3103,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000100554150185604
"23","NsiI.TP767179",11,18585,"FW_50","pLARmEB",0.0151,3.4969,8.2344,0.2328,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000599791076255509
"24","PstI.TP1009395",11,6997,"FW_50","ISIS EM-BLASSO",-0.0002,3.3881,0.0004,0.0259,"C",0.0011,0.0027,"mrMLMM","F116+36088im","PS_N",0.0000781627804588329
"111","NsiI.TP825923",6,52448208,"GHW_1","mrMLM",0.0083,4.3904,22.1111,0.1842,"C",0.0002,0.0003,"mrMLMM","F116+36088im","PS_N",0.00000691034929404941
"77","PstI.TP1020545",11,7078,"GHW_1","ISIS EM-BLASSO",0.0039,4.6115,4.9018,0.3405,"A",0.0001,0.0003,"mrMLMM","F116+36088im","PS_N",0.00000406069153365635
"112","PstI.TP622176",3,65129470,"GFW_1","mrMLM",0.01,5.3122,27.603,0.3772,"C",0.0002,0.0003,"mrMLMM","F116+36088im","PS_N",0.000000757704732865862
"210","PstI.TP131472",1,7412958,"GFW_1","FASTmrMLM",0.0011,59.1861,0.2749,0.0776,"A",0,0.0003,"mrMLMM","F116+36088im","PS_N",0.000000000000000000000000000000000000000000000000000000000000315282597595518
"310","NsiI.TP30868",1,51136397,"GFW_1","FASTmrMLM",-0.0014,30.2687,0.1483,0.0991,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000000000000000000000000362409855899745
"48","PstI.TP360841",2,2832783,"GFW_1","FASTmrMLM",0.0002,46.6024,0.0048,0.4095,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000000000000000000000000000000000000000135956507581273
"51","PstI.TP210905",2,72650615,"GFW_1","FASTmrMLM",0.0021,33.6071,1.361,0.181,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000000000000000000000000000157942860773857
"61","NsiI.TP777037",2,73985749,"GFW_1","FASTmrMLM",0.0001,24.4933,0.0002,0.0259,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000000000000000000239662452940864
"71","PstI.TP40160",2,77518912,"GFW_1","FASTmrMLM",0.0011,50.9199,0.0753,0.069,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000000000000000000000000000000000000000000000626613864672331
"81","NsiI.TP299172",3,55365719,"GFW_1","FASTmrMLM",0.0005,17.9259,0.0055,0.0302,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000000000000103086074006263
"91","NsiI.TP496851",3,61267172,"GFW_1","FASTmrMLM",-0.0003,19.1439,0.008,0.1164,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000000000000604365966436182
"103","NsiI.TP821811",4,48427329,"GFW_1","FASTmrMLM",-0.0013,23.4521,0.5958,0.1336,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000000000000000000269215462407529
"113","PstI.TP1192081",9,48933732,"GFW_1","FASTmrMLM",0.0015,68.6464,0.266,0.1034,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000000000000000000000000000000000000000000000000000000000000010157808007969
