"","SNP","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","PS","Software","Method","Trait.name","PVE"
"1","PstI.TP1133587",10,42973263,0.0000000000326812372785803,0.058171140934787,124,0.418263044404305,0.670092963955898,0.000000857359578766276,1.19202240683698,0.000000857359578766276,"124+36088im","PS_N","GAPIT","CMLM","GS",25.1829919551593
"2","PstI.TP65187",6,51685319,0.000000000523994274688647,0.0973658112203374,124,0.418263044404305,0.633917128872314,0.00000687323290109099,-1.15975439973044,0.00000687323290109098,"124+36088im","PS_N","GAPIT","CMLM","GS",21.5654084468009
"3","PstI.TP1264070",2,7827620,0.0000000142920769155379,0.08212589006936,124,0.418263044404305,0.593014096802133,0.000124979448600741,-0.840413857595632,0.00012497944860074,"124+36088im","PS_N","GAPIT","CMLM","GS",17.4751052397828
"4","NsiI.TP210231",11,11469,0.0000000253873880907924,0.0845343785859366,124,0.418263044404305,0.586143673522836,0.000166503184793462,-0.992284185347422,0.000166503184793462,"124+36088im","PS_N","GAPIT","CMLM","GS",16.7880629118531
"5","NsiI.TP251198",11,11959,0.000000074776256534964,0.169181035461555,124,0.418263044404305,0.573414208797143,0.000392336062787649,1.04511094262805,0.000392336062787649,"124+36088im","PS_N","GAPIT","CMLM","GS",15.5151164392838
"6","NsiI.TP510537",3,71420877,0.00000012822303264845,0.100811521287312,124,0.418263044404305,0.567150970207889,0.000556487224369222,0.759234618046935,0.000556487224369223,"124+36088im","PS_N","GAPIT","CMLM","GS",14.8887925803584
"7","PstI.TP914537",10,57752412,0.000000148487099587732,0.0675956287517027,124,0.418263044404305,0.56545734569783,0.000556487224369222,-0.743918029753909,0.000556487224369223,"124+36088im","PS_N","GAPIT","CMLM","GS",14.7194301293525
"8","NsiI.TP353473",11,13012,0.000000308639400398715,0.0631381281853496,124,0.418263044404305,0.557078745897839,0.00101210575375749,0.672396127971633,0.00101210575375749,"124+36088im","PS_N","GAPIT","CMLM","GS",13.8815701493534
"9","NsiI.TP459094",6,54308423,0.000000388918502630559,0.495231435975434,124,0.418263044404305,0.554454405015961,0.00113365422200112,-0.548376703502291,0.00113365422200112,"124+36088im","PS_N","GAPIT","CMLM","GS",13.6191360611656
"10","NsiI.TP431852",4,58431342,0.000000473212718151044,0.234130151310881,124,0.418263044404305,0.552236300103176,0.00124142624479745,1.04929266818129,0.00124142624479745,"124+36088im","PS_N","GAPIT","CMLM","GS",13.3973255698871
"11","NsiI.TP747164",11,18278,0.000000565851955924021,0.0877481439645665,124,0.418263044404305,0.550221753801497,0.00134950547379189,0.691043843050653,0.00134950547379189,"124+36088im","PS_N","GAPIT","CMLM","GS",13.1958709397192
"12","NsiI.TP336234",11,12829,0.000000848434930572065,0.122775345466312,124,0.418263044404305,0.545682143567538,0.00173488092625985,-0.774306638898631,0.00173488092625985,"124+36088im","PS_N","GAPIT","CMLM","GS",12.7419099163233
"13","PstI.TP735061",1,72976269,0.000000859703134915685,0.23770539046379,124,0.418263044404305,0.545534850975418,0.00173488092625985,0.524130365601102,0.00173488092625985,"124+36088im","PS_N","GAPIT","CMLM","GS",12.7271806571113
"14","NsiI.TP741538",8,59582552,0.000000989610544199231,0.338314505999796,124,0.418263044404305,0.543966077663797,0.00178683628996027,-0.514756685874209,0.00178683628996027,"124+36088im","PS_N","GAPIT","CMLM","GS",12.5703033259492
"15","NsiI.TP149692",11,10781,0.00000102167204198384,0.0903075859891929,124,0.418263044404305,0.543611207099371,0.00178683628996027,0.690191102378996,0.00178683628996027,"124+36088im","PS_N","GAPIT","CMLM","GS",12.5348162695066
"16","PstI.TP471886",11,3583,0.00000114865423383857,0.0930918865772764,124,0.418263044404305,0.542309142601389,0.00180010107297888,0.55916820828236,0.00180010107297888,"124+36088im","PS_N","GAPIT","CMLM","GS",12.4046098197084
"17","NsiI.TP694884",3,6382094,0.00000116649074638412,0.17575584571257,124,0.418263044404305,0.542138093531016,0.00180010107297888,1.09764207720755,0.00180010107297888,"124+36088im","PS_N","GAPIT","CMLM","GS",12.3875049126711
"18","PstI.TP753228",10,47979677,0.00000181263105578838,0.0688036076612671,124,0.418263044404305,0.537266013203745,0.00264180906208624,-0.65961083693913,0.00264180906208624,"124+36088im","PS_N","GAPIT","CMLM","GS",11.900296879944
"19","PstI.TP588686",1,71389933,0.00000212832153454661,0.116935483870968,124,0.418263044404305,0.53550138598784,0.00293865195459452,-0.619127332492318,0.00293865195459451,"124+36088im","PS_N","GAPIT","CMLM","GS",11.7238341583535
"20","NsiI.TP346121",11,12935,0.00000254139758140808,0.0969082956655456,124,0.418263044404305,0.533558057734507,0.00333355120753298,-0.458844305236673,0.00333355120753298,"124+36088im","PS_N","GAPIT","CMLM","GS",11.5295013330202
"21","PstI.TP780329",11,5383,0.0000027507460894864,0.116059694070972,124,0.418263044404305,0.532692939019366,0.00343633680531362,0.641843263599672,0.00343633680531363,"124+36088im","PS_N","GAPIT","CMLM","GS",11.4429894615061
"22","PstI.TP803702",11,5570,0.00000307735700549918,0.127954261372741,124,0.418263044404305,0.531468951417429,0.00366960834919388,-0.592046285545513,0.00366960834919389,"124+36088im","PS_N","GAPIT","CMLM","GS",11.3205907013124
"23","PstI.TP643786",7,854183,0.00000357003290275937,0.0587437694727918,124,0.418263044404305,0.529852945823447,0.00407201057265171,-0.98297068077802,0.00407201057265171,"124+36088im","PS_N","GAPIT","CMLM","GS",11.1589901419142
"24","PstI.TP125880",11,1053,0.0000044959135157667,0.0671518763138946,124,0.418263044404305,0.52735275689213,0.00491440813219265,0.6945418409261,0.00491440813219265,"124+36088im","PS_N","GAPIT","CMLM","GS",10.9089712487825
"25","NsiI.TP511109",10,58780153,0.00000543312936886091,0.0873448351272479,124,0.418263044404305,0.52530809558302,0.00570130863450788,-0.618689353473865,0.00570130863450788,"124+36088im","PS_N","GAPIT","CMLM","GS",10.7045051178715
"26","NsiI.TP442212",1,25199008,0.00000612212338054369,0.0708084697865884,124,0.418263044404305,0.524022675566712,0.00617722249096859,-0.611150513400037,0.00617722249096858,"124+36088im","PS_N","GAPIT","CMLM","GS",10.5759631162407
"27","PstI.TP324057",11,2570,0.00000643156634768098,0.0652106291310473,124,0.418263044404305,0.523492673424581,0.00624910042833566,-0.552813113191191,0.00624910042833566,"124+36088im","PS_N","GAPIT","CMLM","GS",10.5229629020276
"28","PstI.TP1081624",10,8144011,0.0000107228056540026,0.136414296957173,124,0.418263044404305,0.518028563583576,0.0100465029831109,-0.616206592359327,0.0100465029831109,"124+36088im","PS_N","GAPIT","CMLM","GS",9.97655191792709
"29","NsiI.TP459037",9,50088687,0.0000111622583923061,0.0954547644635341,124,0.418263044404305,0.517601535016705,0.0100976098849572,-0.573833843153085,0.0100976098849572,"124+36088im","PS_N","GAPIT","CMLM","GS",9.93384906124
"30","NsiI.TP609571",11,16656,0.0000116389147535347,0.461914150040411,124,0.418263044404305,0.517157320923946,0.010177842988141,0.810883197654751,0.010177842988141,"124+36088im","PS_N","GAPIT","CMLM","GS",9.88942765196409
"31","PstI.TP391260",11,3050,0.0000126798996892271,0.0904797651914894,124,0.418263044404305,0.516248458954013,0.010730467369264,0.682011959325418,0.010730467369264,"124+36088im","PS_N","GAPIT","CMLM","GS",9.79854145497079
"32","NsiI.TP440093",3,64205828,0.0000141940718119903,0.0703677770166546,124,0.418263044404305,0.515053990554128,0.0116364774973673,-0.457466988536237,0.0116364774973673,"124+36088im","PS_N","GAPIT","CMLM","GS",9.6790946149823
"33","GFSSContig19953_1437",3,58043502,0.0000171316358087791,0.111438330161578,124,0.418263044404305,0.513068230831432,0.0136191313275003,0.627751590141132,0.0136191313275003,"124+36088im","PS_N","GAPIT","CMLM","GS",9.4805186427127
"34","PstI.TP221109",5,55180794,0.0000213419059939012,0.160335899500268,124,0.418263044404305,0.510757934919602,0.0164671635836472,-0.4018591454337,0.0164671635836472,"124+36088im","PS_N","GAPIT","CMLM","GS",9.2494890515297
"35","NsiI.TP690223",6,6293609,0.0000273485334918525,0.0585457348711185,124,0.418263044404305,0.508163054949144,0.0204988979321502,0.597171784253658,0.0204988979321502,"124+36088im","PS_N","GAPIT","CMLM","GS",8.9900010544839
"36","PstI.TP214637",11,1753,0.0000336716394652395,0.103173893248424,124,0.418263044404305,0.505996848436881,0.0245372719369748,0.564999455263695,0.0245372719369748,"124+36088im","PS_N","GAPIT","CMLM","GS",8.7733804032576
"37","NsiI.TP249293",10,3006315,0.0000426841031863994,0.0556822519176837,124,0.418263044404305,0.5035381268079,0.0298879353631419,-0.699424104186272,0.0298879353631419,"124+36088im","PS_N","GAPIT","CMLM","GS",8.5275082403595
"38","NsiI.TP336652",6,41462007,0.0000432927324769151,0.0743225379186299,124,0.418263044404305,0.503391734532339,0.0298879353631419,-0.625968780143724,0.0298879353631419,"124+36088im","PS_N","GAPIT","CMLM","GS",8.5128690128034
"39","PstI.TP1205276",11,8504,0.0000476253042788209,0.0844511713318921,124,0.418263044404305,0.502406668108736,0.0320359546782202,-0.438905985021985,0.0320359546782202,"124+36088im","PS_N","GAPIT","CMLM","GS",8.4143623704431
