"","SNP","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","Method","PS","Software","Trait.name"
"1","NsiI.TP77051",7,6197408,0.00000278594904101398,0.366853915107735,112,NA,NA,0.0206878400188221,NA,0.0206878400188222,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","ADD"
"2","PstI.TP1193586",1,61024932,0.0000030376458446497,0.250380583844066,112,NA,NA,0.0206878400188221,NA,0.0206878400188222,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","ADD"
"3","PstI.TP539779",2,5282633,0.00000304025058026896,0.0968645019613543,112,NA,NA,0.0206878400188221,NA,0.0206878400188222,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","ADD"
"4","PstI.TP691752",11,4785,0.00000315435541950479,0.0760923937956453,112,NA,NA,0.0206878400188221,NA,0.0206878400188222,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","ADD"
"5","NsiI.TP800691",1,19575278,0.0000045353541802726,0.0903353416803515,112,NA,NA,0.0237960963130543,NA,0.0237960963130543,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","ADD"
"6","NsiI.TP465411",11,14678,0.0000111776144227999,0.133631158155866,112,NA,NA,0.0410920848788511,NA,0.041092084878851,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","ADD"
"7","PstI.TP532633",11,3982,0.0000122741510327888,0.168386227464313,112,NA,NA,0.0410920848788511,NA,0.041092084878851,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","ADD"
"8","NsiI.TP663562",11,17249,0.0000133607520272907,0.477898051190813,112,NA,NA,0.0410920848788511,NA,0.041092084878851,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","ADD"
"9","PstI.TP640452",2,13526708,0.0000140973074601532,0.431352601473506,112,NA,NA,0.0410920848788511,NA,0.041092084878851,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","ADD"
"10","PstI.TP73689",2,68257747,0.000016636243526931,0.12969964817065,112,NA,NA,0.0415416984446252,NA,0.0415416984446253,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","ADD"
"11","NsiI.TP166380",1,6560443,0.0000174185668556407,0.230025503363533,112,NA,NA,0.0415416984446252,NA,0.0415416984446253,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","ADD"
"12","PstI.TP126605",11,1062,0.0000198873862136151,0.430692583587871,112,NA,NA,0.0434771408273316,NA,0.0434771408273315,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","ADD"
"13","PstI.TP722093",9,3026606,0.0000234185696822018,0.145117853875322,112,NA,NA,0.0463738172705665,NA,0.0463738172705665,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","ADD"
"14","PstI.TP142379",11,1189,0.0000247477869096566,0.308252353183972,112,NA,NA,0.0463738172705665,NA,0.0463738172705665,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","ADD"
"15","NsiI.TP239837",3,2466199,0.0000292620177918509,0.282437451771245,112,NA,NA,0.0484772157416089,NA,0.0484772157416089,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","ADD"
"16","PstI.TP1193653",11,8441,0.0000295660384183023,0.307213568912627,112,NA,NA,0.0484772157416089,NA,0.0484772157416089,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","ADD"
"17","PstI.TP650369",3,70976262,0.000000110440035393112,0.078340235143633,114,NA,NA,0.00265169764438351,NA,0.00265169764438351,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"18","PstI.TP178720",1,58289912,0.00000026495808110695,0.0588235294117647,114,NA,NA,0.00265169764438351,NA,0.00265169764438351,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"19","NsiI.TP555065",11,15993,0.000000303235988913263,0.12228313344078,114,NA,NA,0.00265169764438351,NA,0.00265169764438351,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
