"","Name","Chromosome","Position","Yld","AIL","CmDW.V"
"11852","NsiI.TP620354",1,2563,0,0,0
"27383","PstI.TP453248",1,3988,0,0,0
"166","GFSSContig17137_1860",1,35412,0,0,0
"167","GFSSContig17137_940",1,36536,0.102317332100124,0.193039986116811,0.142113373501011
"18395","PstI.TP1112203",1,63590,0.477232044799559,0.198759523548427,0.242027493486718
"28238","PstI.TP506588",1,80675,0,0,0
"35911","PstI.TP989644",1,80828,0.300750234130958,0.900437384224244,0.891381260691208
"25019","PstI.TP312105",1,81356,0.055363546264776,0.000128674651175879,0.872520472010918
"8667","NsiI.TP481742",1,154583,0.0134490397566486,0.764554574981925,0.0401437724442658
"33805","PstI.TP863331",1,161269,0.572885496284631,0.305261096387575,0.720038960952753
"13914","NsiI.TP71772",1,180079,0.0617102590384894,1.30023070961587,0.262231472774194
"11620","NsiI.TP611047",1,185165,0,0,0
"11619","NsiI.TP611046",1,185173,0.0913207150622939,0.217699891673108,0.553351464390723
"19424","PstI.TP1169914",1,194807,0,0,0
"16400","NsiI.TP96063",1,195779,0.859956216859817,0.871590234576607,1.06520166004703
"9755","NsiI.TP521153",1,258294,0.00187359198960523,0.131103198250921,0.0109562675490137
"24373","PstI.TP271714",1,262844,0.176864654740639,0.0189427826107915,0.151918440221253
"26973","PstI.TP424788",1,263370,0,0,0
"32845","PstI.TP811380",1,281841,0.481650463203732,0.0159490531204984,1.41342730141973
"35005","PstI.TP931820",1,284314,0,0,0
"7031","NsiI.TP426085",1,284999,0,0,0
"1340","NsiI.TP148773",1,285352,0.397388854300535,0.343387121245113,0.123167975085128
"1341","NsiI.TP148774",1,285397,0,0,0
"24810","PstI.TP301730",1,298129,0.294956895843572,0.266195597249898,0.150948823256466
"31012","PstI.TP710662",1,335281,0,0,0
"11035","NsiI.TP579900",1,335878,0,0,0
"7784","NsiI.TP443857",1,339059,0.0643454639175775,0.0753213004010042,0.115084978718682
"17198","PstI.TP1043924",1,365760,0.596263819138238,1.83359226366687,1.13697611657383
"17199","PstI.TP1043926",1,365816,0.115785946959607,0.426583470872927,0.594940599938789
"6614","NsiI.TP414280",1,378096,1.19662128138055,0.259590675059443,0.8954478384835
"15642","NsiI.TP807695",1,389941,1.048946793224,0.662963967358955,1.10029072725758
"13330","NsiI.TP687955",1,398596,0,0,0
"35303","PstI.TP948856",1,403321,0.626440752781897,0.220863557232816,0.532022611635152
"17071","PstI.TP1037554",1,403777,0.632279308935974,0.23453210736881,0.52673504750826
"821","NsiI.TP122940",1,430012,0.0835912674051398,0.548013909141338,0.738284749754283
"13631","NsiI.TP703893",1,450123,0.156645142619424,0.158612905133535,0.201348553608505
"16903","PstI.TP1026667",1,480929,0,0,0
"6599","NsiI.TP413787",1,481003,0.758239481730302,0.511110100235493,0.0222310040956335
"11238","NsiI.TP591161",1,512907,0.987229998710214,0.609257704583921,0.138440940897007
"3555","NsiI.TP260303",1,526218,1.29708532381655,0.107594833563207,0.679595589011336
"1565","NsiI.TP160827",1,542721,0.139873167868764,0.318706469954168,0.81626823864651
"26978","PstI.TP425356",1,569039,0.397723148871438,0.356274738817628,0.828379949933633
"36080","PstI.TP999740",1,569491,0.668577689190018,0.0199178806156029,0.125953671243844
"22692","PstI.TP184304",1,572620,0.052294306237623,0.341248161449724,0.659642616782274
"18742","PstI.TP1132231",1,588023,0.263708686430351,0.0627279197377122,0.228699403470814
"28659","PstI.TP536170",1,662254,0.150467090038105,1.47015402659503,0.0844381852895828
"33648","PstI.TP854736",1,683267,0,0,0
"5271","NsiI.TP35313",1,692280,0,0,0
"33217","PstI.TP83381",1,713539,1.4994474484336,0.170954695736819,2.30519003933049
"35291","PstI.TP94792",1,731905,1.60731405625624,1.91201032305972,1.90314967957723
"35541","PstI.TP968891",1,748410,0,0,0
"15579","NsiI.TP802651",1,754114,0.120311242225385,1.08242845333482,0.122834998773894
"17096","PstI.TP1039014",1,759496,0.00588089445570657,0.469451716680987,0.0391271504670046
"20814","PstI.TP1248576",1,760805,0.260437851175415,0.0110683588558095,0.125070581901272
"3193","NsiI.TP241552",1,773227,0.219271107248548,0.205127804425079,0.304284680049796
"3190","NsiI.TP241535",1,773253,0.430532016385896,0.0979088710801156,0.356683994507785
"3941","NsiI.TP282375",1,773642,0.294000244375324,1.20024471961129,0.0874970047187313
"10586","NsiI.TP559422",1,781613,0.0901335018395785,0.564894449210752,0.0744571600143389
