"","Name","Chromosome","Position","Surv","CmDW_g","Cml_cm","CmD_BI_mm","CmD_LI_mm","CmN.","Bcirc_cm","Yld_kg","SDW_kg","CCirc_cm","Lg","GS","TFN.","FNMain","FNsmall","FD","SRD","ADD","HD_1","FD_1","HD_50.","FD_50.","HW_1","FW_1","HW_50","FW_50","GHW_1","GFW_1","GHW_50","GFW_50","HM_1","FM_1","HM_50","FM_50","fprind","fprinW","fprinGW","fprinM","Adj.P.Surv","Adj.P.CmDW_g","Adj.P.Cml_cm","Adj.P.CmD_BI_mm","Adj.P.CmD_LI_mm","Adj.P.CmN.","Adj.P.Bcirc_cm","Adj.P.Yld_kg","Adj.P.SDW_kg","Adj.P.CCirc_cm","Adj.P.Lg","Adj.P.GS","Adj.P.TFN.","Adj.P.FNMain","Adj.P.FNsmall","Adj.P.FD","Adj.P.SRD","Adj.P.ADD","Adj.P.HD_1","Adj.P.FD_1","Adj.P.HD_50.","Adj.P.FD_50.","Adj.P.HW_1","Adj.P.FW_1","Adj.P.HW_50","Adj.P.FW_50","Adj.P.GHW_1","Adj.P.GFW_1","Adj.P.GHW_50","Adj.P.GFW_50","Adj.P.HM_1","Adj.P.FM_1","Adj.P.HM_50","Adj.P.FM_50","Adj.P.fprind","Adj.P.fprinW","Adj.P.fprinGW","Adj.P.fprinM"
"11852","NsiI.TP620354",1,2563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27383","PstI.TP453248",1,3988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166","GFSSContig17137_1860",1,35412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167","GFSSContig17137_940",1,36536,0.0821828450227944,0.0720544734588295,0.018553011038092,0.137428493144635,0.136089839907179,0.247011874329975,0.0640777443098096,0.0520173200202673,0.137784347568653,0.00991594012728658,0.0838234292214364,0.0913309587532286,0.0595754846343408,0.0223366694084464,0.321285866145231,0.045961752412572,0.075314866991844,0.664187178724074,0.342273392660197,0.375399151039464,0.431395566959998,0.464384922501103,0.314291976528197,0.382944529451134,0.397990538394643,0.44207543280042,0.3152649009931,0.372697583046213,0.392904108916999,0.57696451862478,0.255785818261639,0.1377934980449,0.186908396935912,0.416380168669185,0.444152400213975,0.425345624613137,0.438752557958284,0.236589424838359,0.205559641750943,0.192739580783547,0.063439554893184,0.296462398266698,0.296978363794088,0.420896120231314,0.176967753627643,0.150876148922312,0.300245246969238,0.035903125043997,0.210026888051294,0.198982832618118,0.164886884690857,0.0739053567078036,0.496491428829234,0.136470933113781,0.200129807819871,0.791711282015888,0.514622206246196,0.544597385540769,0.592961463357547,0.621220106040166,0.489392856789333,0.550783236173629,0.56402643514508,0.602409780572501,0.489271750284345,0.541113227267933,0.559400460906484,0.718032124564834,0.429139870266203,0.29424211582511,0.354970541449489,0.579860946918574,0.6036551926899,0.587645578633977,0.599041110246834,0.409793096403489
"18395","PstI.TP1112203",1,63590,0.0922973717548504,0.425947471065436,0.843963501405821,0.250582173465985,0.452480266656362,0.8136389677412,0.124388130302528,0.479120588170865,0.54291198562498,0.596907400671529,0.231194275572777,0.0309084838188434,0.082689547972513,0.179049666084762,0.203408544353724,0.0196217584747663,0.0343236996999989,0.409629261379841,0.229319198919657,0.292284807328043,0.286377960751754,0.303874834950372,0.235772250160743,0.312475673663836,0.249030757843932,0.292037111582282,0.161878768256852,0.308922634546247,0.253860625062176,0.277023394666054,0.152584188734795,0.0244712791813996,0.097466804299685,0.294872800979938,0.294672490722372,0.277957582242826,0.258560244072181,0.130403123541547,0.223425513274017,0.591892362957259,0.946191395779094,0.427670123039096,0.61561198352855,0.918528578466682,0.280557427897352,0.639059185296,0.69496274725721,0.736073612692094,0.3948041235634,0.091751695653074,0.209557186915767,0.349747158131672,0.375881511608938,0.0662714103731742,0.108408338418831,0.575977517449201,0.404856477208189,0.467738642492768,0.462221380545163,0.478352673661462,0.411976418137844,0.487347091407564,0.424196261166422,0.467430079727183,0.326428028129969,0.484291921611858,0.430008084357841,0.452424323062341,0.313508210149242,0.0791396651221748,0.232769640233408,0.469444575691018,0.470766339598431,0.453970547971538,0.433977531593658,0.284195176180165
"28238","PstI.TP506588",1,80675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35911","PstI.TP989644",1,80828,0.991396294679029,0.615984956097629,0.0499549889964753,0.567026466308154,0.493259189674206,0.263713025810661,0.238133150201222,0.281295958969014,0.116878994485523,0.706784343298664,0.286635157801442,1.90567415104307,0.332700968688542,0.555441418539852,0.0645064558072245,0.103873246877266,0.761772019132392,0.0898425105748268,0.0326462194241502,0.00851064801932075,0.0165024729467188,0.0368887465734255,0.0324432601226969,0.00314127637314956,0.001446711629107,0.0326762891217139,0.0567421624868379,0.0185459757597028,0.0025800029349483,0.0979153218042869,0.0198279958738671,0.0126351042860103,0.0127602978876764,0.0630656041319315,0.0254550902469622,0.0209169334627799,0.0194782682871164,0.00972656416169043,1,0.752146025009625,0.146234234499092,0.709136786669277,0.65054042455004,0.437960224365169,0.414996577383702,0.459631778774822,0.270276121555399,0.830101039115436,0.449762579883405,1,0.504878371726677,0.701479262021564,0.174383498653565,0.246584510808234,0.874223386963358,0.226239377686438,0.101144439991036,0.0300785687710555,0.0556373408994974,0.11218954039624,0.100703458153419,0.0114739252787673,0.00533506328134206,0.101325135059668,0.157819742568401,0.0618450538917164,0.00944387320381522,0.234305956718593,0.0657435423645825,0.0434386628059007,0.0439067153099224,0.171340173297685,0.081863652828181,0.0689675920333304,0.064637401926019,0.0341285607649085
"25019","PstI.TP312105",1,81356,0.185092253506175,0.603120759147864,0.299815480412277,1.19300969060409,0.629355217477521,0.167176789476219,0.500118730537041,0.0239250503226332,0.034078726443384,0.0403831438518644,0.898548050611748,0.0205014160718267,0.385384374534044,0.127826338463655,0.175940860467237,0.303944748025653,0.236399685414835,1.15115710626428,0.373955916466605,0.344966968551305,0.393426619384188,0.403172639452361,0.319293008360943,0.324889512247222,0.35704698033363,0.364783997689714,0.359070087661342,0.298962212291791,0.468523208194877,0.347884834758494,0.478866971283255,0.391076810389538,0.348445564184359,0.428000658335512,0.396486597082235,0.361522976168581,0.41039646639408,0.456184030653962,0.350617250775857,0.741329085699187,0.477762145203928,1,0.764400728920649,0.333157383855016,0.651727322703237,0.0790810785897771,0.107794993416499,0.123875574404295,0.990131360319901,0.0653351380431016,0.552753310263969,0.282175000151479,0.343022894248603,0.47827496584764,0.415266943310124,1,0.542843892651679,0.516627296388741,0.561243630386569,0.568974148531982,0.493642670211393,0.498816907507801,0.527767328093485,0.535084463150898,0.528794993818507,0.474701156931241,0.625182678400322,0.520026009310104,0.632506817204821,0.557943464452961,0.521130938815426,0.589935366206247,0.563012839989915,0.531834231113937,0.57509368536596,0.613618446391598
"8667","NsiI.TP481742",1,154583,0.189765463678018,0.120705894237314,0.277204418838144,0.0157729012040505,0.153022381004974,0.262825982008288,0.0824907776364547,0.108880950145139,0.0352690479162287,0.109659460886431,0.496209150484101,0.144121224990611,0.176165039676855,0.0982590675824778,0.174609517380306,0.0527382615081872,0.111940866818801,0.00118493893848352,0.200616962172709,0.207980590075612,0.152167016422765,0.17139286614187,0.210987073210804,0.17303974637439,0.134096076072727,0.14195447446461,0.151696618492164,0.149852629351048,0.129222412801737,0.167371562947105,0.146766484739477,0.176697875146355,0.0872768253055846,0.100381975334019,0.167837411115421,0.141099406649165,0.145162233664646,0.147763440809821,0.355975004947823,0.275782838462555,0.455855687720708,0.0546007154582038,0.319224908128071,0.43729202575911,0.212466350967015,0.255646705487103,0.11098617031748,0.256673409292354,0.636293068353418,0.265915781351867,0.344792971475038,0.238128616675607,0.341400086913277,0.151626703418376,0.26170782597544,0.00450838971133298,0.372536015791331,0.380647303714813,0.312295455451817,0.336592607386145,0.385212055956263,0.339895375842483,0.28836009970877,0.299121520612841,0.312663634025085,0.310405331650822,0.281433807091497,0.331597815885623,0.305644232285663,0.343256334084172,0.215551304186827,0.23862622527199,0.33257832705542,0.297986621439318,0.302477896442621,0.307082467719253
"33805","PstI.TP863331",1,161269,0.0956803172639667,0.584903866711395,0.32313097042635,0.808844082437716,0.376631151318141,0.0728629954668654,0.324294914182134,0.610083788454588,0.539311467312111,0.0967444883743845,0.244005820032633,0.524938662637531,0.43680425465783,0.197273234419792,0.0757575075231254,0.359174655929014,0.00737254002560055,0.563806180926982,0.676163973220556,0.640707278440104,0.533403340327359,0.523168810203677,0.676743188239952,0.605286551217527,0.511797846886393,0.518651053293779,0.583386967252394,0.602018884351405,0.503752617763361,0.47103371651516,0.589330976186845,0.545193458255709,0.439334581412458,0.462364430904723,0.538792538606715,0.52074516116035,0.511299839464048,0.569585206539898,0.228796964514587,0.726504498185094,0.500776196715413,0.915119454713995,0.549921710178389,0.192255595555183,0.498749408182606,0.750629155424267,0.691826024309731,0.235979391446758,0.407444106669335,0.644858489779666,0.598231193248265,0.371104113476285,0.196248433816277,0.529575706127074,0.0269346248677741,0.70721360010748,0.800623579814405,0.771268029765718,0.680552987623154,0.671828572857708,0.800521442808555,0.741490921631356,0.66273496352349,0.668007626108742,0.723654104911986,0.738490686239284,0.655242573003058,0.627511711823954,0.72643290872121,0.691334066396604,0.600291919333029,0.620313304676369,0.685853443853232,0.670065299007156,0.661900082741277,0.710149079511821
"13914","NsiI.TP71772",1,180079,0.302921213181111,0.107758470864362,0.308322833286405,0.0998946472915523,0.376387273477746,0.41434693179366,0.118746728654479,0.181987631328483,0.0777027754111141,0.352307667167149,0.61847671446648,0.035072236322122,0.729135620993503,0.767474248592117,0.0953172334174701,0.26199504581574,0.207463333583475,0.523306491185294,0.779895569014086,0.764296617359777,0.619431247733849,0.635170188384406,0.797118751845452,0.74529037398177,0.619054386575962,0.618252160381157,0.851363851502456,0.727461536353617,0.609207217089902,0.580676114396107,0.626134569519619,0.688729547936706,0.508679710199169,0.640290777066351,0.641909272372643,0.623976709135774,0.632950237377152,0.632892577825289,0.471626072793474,0.255564019080219,0.486528738733144,0.241696517851534,0.549765812331117,0.575755730413523,0.2719728461404,0.353710096855183,0.204204613970018,0.523422459890223,0.742698910943243,0.101125508500538,0.850811468633024,0.883295403852287,0.2303957347334,0.437417569871534,0.384448207044166,0.673577224877658,0.888916407509959,0.875311361977711,0.752635765402483,0.766543410339502,0.903241067464163,0.859243467390394,0.752832081336143,0.752977758558105,0.950899804275399,0.844733635495506,0.743553189678615,0.721407312597312,0.757973377103217,0.812123068684919,0.659833700502053,0.771124795236113,0.772042651287848,0.757491517593746,0.764326858506497,0.763565205192269
"11620","NsiI.TP611047",1,185165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11619","NsiI.TP611046",1,185173,0.0830866208498702,0.473333473551531,0.312088241363989,0.523994891749509,0.432222599475618,0.0964570420835909,0.503485714178942,0.105345948706235,0.143623023926568,0.0929500265978544,0.0989590279526479,0.026388185974549,0.107616090237164,0.0348896942060171,0.149242727396311,1.1833335588898,0.440738182858633,0.137153847499599,0.28040918531419,0.244789873597214,0.206015451084237,0.190812642791984,0.278154213698327,0.229112131484975,0.226596472483907,0.146454708990688,0.246123534512637,0.239142403084249,0.185269839241422,0.167112790691194,0.406810737093243,0.455187338748331,0.289551534086883,0.162353078552123,0.202295670634327,0.174830725319929,0.190046173549018,0.395863302241876,0.207242006571906,0.632138938403066,0.490383613634503,0.672903268573635,0.598231844162401,0.23355755063826,0.654507851060468,0.25040999847916,0.308387439011244,0.229717879779895,0.23487230521244,0.0805870233942222,0.251303834895741,0.108325152416744,0.310228186526011,1,0.604306973518326,0.299378320286125,0.45694337821412,0.420025530542804,0.37772116032759,0.360318489512695,0.454559129825894,0.404082856166199,0.401128887422704,0.305276817308147,0.42163230387791,0.415252572455641,0.354564244500421,0.331359011649415,0.569803449649562,0.613940989009856,0.4650904200763,0.324634192087157,0.374179754028812,0.340868232993333,0.359529582251885,0.561332607123961
